trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
1604,8.48333333333333,509,96,96,136,136,31,31,10.5,1.33333333333333,1,96,31,96
6594,14.9,894,28,28,25,25,33,33,14.35,1.33333333333333,1,28,33,28
4008,4.33333333333333,260,3,3,0,0,35,35,3.16666666666667,1.20689655172414,1,3,35,3
1489,3.93333333333333,236,6,6,28,28,71,71,2.96666666666667,1.16216216216216,1,6,71,6
361,35.2666666666667,790,55,27,383,126,45,10,20.0166666666667,1.11111111111111,7,27,10,27
7685,1032.25,20324,223,73,1334,451,70,31,674.1,1.25,5,73,15,6
1995,3.1,186,6,6,30,30,13,13,2.88333333333333,1.08333333333333,1,6,13,6
992,20.6166666666667,373,42,11,120,57,141,98,9.9,1.33333333333333,8,11,8,2
1214,19.2333333333333,440,31,10,250,118,52,20,8.1,1.66666666666667,6,3,20,3
6766,364.283333333333,9462,217,73,129,78,46,15,93.8833333333333,1.15384615384615,5,73,3,2
6776,62.6,3220,75,55,86,63,32,14,32.4833333333333,1.6,4,55,6,16
5572,2.93333333333333,176,3,3,41,41,13,13,1.8,1.18181818181818,1,3,13,3
7669,8.76666666666667,448,25,20,71,71,62,55,10.95,1.23076923076923,2,20,55,20
7093,2.98333333333333,179,5,5,35,35,22,22,2.33333333333333,1.46666666666667,1,5,22,5
3481,2.63333333333333,158,6,6,17,17,7,7,1.98333333333333,1.16666666666667,1,6,7,6
6851,145.916666666667,3718,63,32,1214,1052,36,21,52.6166666666667,1.125,5,32,3,5
8118,916.833333333333,15034,230,63,1208,272,23,5,916.116666666667,1,5,63,4,55
7392,2.11666666666667,127,11,11,5,5,11,11,2.48333333333333,1.1,1,11,11,11
1363,1.45,87,6,6,5,5,9,9,0.8,1,1,6,9,6
772,8.9,468,41,38,11,11,21,11,9.15,1.25,2,38,11,38
3042,1.45,87,3,3,0,0,84,84,0.333333333333333,1.29230769230769,1,3,84,3
6768,1.13333333333333,68,3,3,0,0,22,22,0.833333333333333,1.04761904761905,1,3,22,3
4556,96.4666666666667,4255,95,29,301,173,59,16,91.6666666666667,1.2,6,29,16,29
5183,2.38333333333333,143,9,9,8,8,22,22,2.25,1.04761904761905,1,9,22,9
8733,1.5,90,5,5,14,14,12,12,0.966666666666667,1,1,5,12,5
6382,122.283333333333,4242,153,74,132,67,20,11,139.916666666667,1.66666666666667,3,74,11,74
6767,82.6166666666667,4511,39,27,217,191,34,13,76.7,1.18181818181818,4,27,13,27
8074,1.25,75,3,3,0,0,9,9,0.416666666666667,1.28571428571429,1,3,9,3
7300,4.55,128,7,3,0,0,23,12,1.43333333333333,1.25,3,2,12,2
8219,138.466666666667,3780,176,73,124,35,57,13,13.3333333333333,1.125,8,73,6,10
4527,70.35,4009,16,10,195,195,9,6,37.85,1,2,10,6,10
8506,3.2,192,4,4,0,0,18,18,0.25,1.05882352941176,1,4,18,4
8072,1.28333333333333,77,4,4,0,0,6,6,0.0333333333333333,1.2,1,4,6,4
7588,1.01666666666667,61,4,4,0,0,12,12,0.216666666666667,1.09090909090909,1,4,12,4
3658,105.683333333333,5721,64,57,99,99,55,27,101.85,1.4,3,57,20,5
3028,26.05,1218,73,50,37,23,11,6,24,1.5,2,50,5,23
7116,5.81666666666667,182,11,8,10,10,22,13,4.65,1.5,2,8,9,3
2016,32.0833333333333,567,53,9,121,53,64,11,10.5166666666667,1.33333333333333,10,4,6,7
6379,260.666666666667,6917,262,68,305,145,62,12,108.333333333333,1.57142857142857,7,56,9,68
6410,14.6,316,34,7,54,30,56,11,4.7,1.2,7,5,10,5
7734,864.783333333333,24382,358,75,784,373,86,28,867.6,1.16666666666667,6,69,28,69
8041,238.7,12728,121,61,251,229,40,20,274.6,1.16666666666667,3,61,20,61
7122,4.36666666666667,262,5,5,0,0,12,12,1.65,1.09090909090909,1,5,12,5
4571,28.0833333333333,219,61,8,267,88,96,15,22.9333333333333,1.15384615384615,11,6,5,6
3293,3.31666666666667,199,6,6,67,67,4,4,2.65,1,1,6,4,6
4531,58.4666666666667,1243,100,19,267,113,75,15,43.05,1.2,10,19,15,19
5791,1.68333333333333,101,10,10,23,23,10,10,1.16666666666667,1.125,1,10,10,10
1547,1.65,99,7,7,21,21,4,4,1.65,1,1,7,4,7
1842,1.63333333333333,98,6,6,0,0,19,19,0.816666666666667,1.26666666666667,1,6,19,6
3731,5.5,330,7,7,0,0,24,24,0.433333333333333,1.15384615384615,1,7,24,7
4560,9.53333333333333,495,44,38,11,11,23,15,6.05,1.07142857142857,2,38,8,6
8652,14.7666666666667,886,480,480,2,2,14,14,51.6666666666667,1.07692307692308,1,480,14,480
2321,1.91666666666667,115,8,8,20,20,22,22,1.58333333333333,1.15789473684211,1,8,22,8
3659,2.31666666666667,139,7,7,0,0,29,29,0,1.38095238095238,1,7,29,7
8734,1.05,63,6,6,0,0,17,17,0.1,1,1,6,17,6
71,808.833333333333,12080,298,74,980,270,47,15,800.333333333333,1.22222222222222,6,74,8,15
5210,1.15,69,7,7,0,0,16,16,0.216666666666667,1,1,7,16,7
3807,1.6,96,3,3,18,18,5,5,0.6,1,1,3,5,3
1405,4.38333333333333,263,17,17,7,7,33,33,2.91666666666667,1.125,1,17,33,17
524,19.4833333333333,267,77,15,129,38,60,14,11.2166666666667,1.27272727272727,9,15,7,7
7405,5.78333333333333,347,22,22,10,10,5,5,2.98333333333333,1,1,22,5,22
3827,2.96666666666667,178,11,11,25,25,52,52,2.45,1.17073170731707,1,11,52,11
1481,1.16666666666667,70,8,8,0,0,14,14,1.16666666666667,1.07692307692308,1,8,14,8
3002,3.23333333333333,194,26,26,6,6,3,3,2.26666666666667,1,1,26,3,26
3427,24.9333333333333,384,62,11,60,37,54,11,11.5833333333333,1.25,9,7,3,10
3924,1.46666666666667,88,7,7,0,0,10,10,1.11666666666667,1,1,7,10,7
6374,6.68333333333333,286,9,6,48,48,19,13,2.98333333333333,1.2,2,6,6,3
8000,2.38333333333333,143,2,2,0,0,4,4,1.05,1.33333333333333,1,2,4,2
825,8.48333333333333,509,479,479,2,2,57,57,35.2666666666667,1.14285714285714,1,479,57,479
1698,6.68333333333333,165,12,6,29,29,15,6,2.43333333333333,1,3,6,6,6
2982,9.03333333333333,420,103,96,4,4,28,17,7.08333333333333,1.08333333333333,2,96,11,7
4858,6.36666666666667,234,48,38,16,11,18,9,5.33333333333333,1.125,2,38,9,10
8583,23.8,342,140,25,78,25,75,19,9.68333333333333,1.16666666666667,8,25,5,17
5916,28.05,1683,221,221,7,7,12,12,32.6333333333333,1,1,221,12,221
521,67.3833333333333,1175,138,40,198,52,93,18,48.6666666666667,1.33333333333333,9,24,18,24
2085,96.4,2751,187,75,95,31,37,9,42.5,1.33333333333333,6,55,7,5
2119,23.75,1364,44,40,28,28,11,7,5.25,1,2,40,7,40
2697,1.08333333333333,65,15,15,1,1,9,9,0.3,1.125,1,15,9,15
4021,1.06666666666667,64,6,6,0,0,3,3,0.3,1,1,6,3,6
810,4.71666666666667,140,21,10,11,11,18,6,2.36666666666667,1.2,3,10,6,10
8138,61.9166666666667,2797,139,62,149,108,48,23,59.1,1.22222222222222,4,62,23,62
4803,3.56666666666667,214,22,22,37,37,13,13,2,1,1,22,13,22
8394,102.233333333333,3140,149,69,175,59,28,8,74.0833333333333,1,4,69,7,7
4908,1.65,99,3,3,24,24,16,16,0.983333333333333,1.15384615384615,1,3,16,3
895,11.7166666666667,316,139,70,8,4,13,7,7.9,1,3,70,3,5
4175,5.23333333333333,226,68,46,9,5,8,4,3.36666666666667,1.33333333333333,2,46,4,46
1077,73.3333333333333,3257,120,48,80,64,39,10,38.05,1.33333333333333,6,48,8,47
6582,3.25,114,8,6,9,9,11,8,0.15,1,2,2,3,6
6698,18.6333333333333,375,54,18,183,69,36,7,8.26666666666667,1.25,7,5,5,4
3936,3.61666666666667,115,58,29,7,4,9,5,1.68333333333333,1,2,29,5,29
1391,183.75,7467,107,47,319,213,32,10,152.116666666667,1.5,4,47,6,11
7908,103.1,3667,128,63,130,72,17,7,100.7,1,4,58,7,58
2071,38.7833333333333,1030,90,30,151,53,82,15,33.8,1.2,8,30,10,18
6603,2.46666666666667,148,3,3,34,34,4,4,1.4,1,1,3,4,3
1365,1.65,99,2,2,0,0,3,3,1.18333333333333,1,1,2,3,2
7528,3.5,75,20,8,0,0,20,12,0.816666666666667,1,3,8,4,5
6521,6.38333333333333,215,13,5,15,15,16,7,1.86666666666667,1,3,5,7,5
4857,5.76666666666667,236,28,18,22,11,16,8,2.38333333333333,1,2,18,8,18
6527,2.23333333333333,70,9,6,0,0,13,7,0.416666666666667,1.16666666666667,2,6,6,3
3744,112.1,2476,233,61,133,40,55,17,39.5666666666667,1.2,7,61,5,46
168,49.7,860,137,66,180,108,90,20,40.0333333333333,1.18181818181818,7,27,17,66
1551,5.48333333333333,161,10,5,25,25,17,6,2.98333333333333,1,3,5,6,3
819,9.88333333333333,274,12,8,0,0,31,13,2.56666666666667,1.09090909090909,3,8,6,2
1826,41.5,523,50,9,262,78,65,14,27.1,1.5,7,8,7,6
8160,5.38333333333333,116,14,5,13,13,13,4,2.18333333333333,1,4,2,4,2
2764,4.2,252,56,56,5,5,28,28,3.25,1.33333333333333,1,56,28,56
7263,13.5,728,37,32,28,22,12,7,12.45,1,2,32,7,32
8521,31.2833333333333,763,35,11,243,85,56,14,23.95,1.11111111111111,5,11,9,10
8584,2.5,150,24,24,6,6,4,4,0.2,1,1,24,4,24
2928,9.53333333333333,478,107,55,19,19,8,5,1.58333333333333,1.25,2,52,5,52
8137,76.9666666666667,1770,214,87,45,27,17,8,34.1666666666667,1,3,87,4,55
7120,22.0333333333333,421,39,5,170,79,73,17,14.4666666666667,1.11111111111111,10,5,17,5
7112,499.9,12854,210,74,477,180,63,22,518.55,1.33333333333333,3,73,22,73
5506,1.25,75,2,2,0,0,4,4,0.433333333333333,1,1,2,4,2
4162,83.4333333333333,4809,66,62,134,80,17,9,10.0666666666667,1.14285714285714,2,62,8,4
3739,12.6333333333333,656,13,11,119,119,24,15,6.3,1.15384615384615,2,11,9,2
6710,1711.78333333333,58796,293,78,1548,889,118,59,1478.46666666667,1.25,4,75,59,75
127,774.15,35085,78,56,3923,1103,21,5,888.216666666667,1.5,5,56,5,4
358,54.1166666666667,2003,34,11,354,281,36,13,34.2333333333333,1.08333333333333,4,7,13,7
2265,23.9333333333333,562,79,26,65,26,68,13,14.0166666666667,1.22222222222222,7,26,9,6
6854,129.883333333333,7793,33,33,279,279,6,6,129.916666666667,1.33333333333333,1,33,6,33
2017,11.3,297,21,6,27,19,44,12,3.35,1.2,5,6,12,6
2105,2063.06666666667,60014,183,59,2760,1456,119,48,2443.48333333333,1.30769230769231,4,59,48,59
1962,66.1333333333333,1670,98,30,294,76,88,18,32.1666666666667,1.25,10,30,7,4
5946,186.133333333333,3352,205,55,17,11,52,18,2.93333333333333,1.125,5,50,9,2
6902,13.0333333333333,532,112,96,23,17,19,7,8.95,1,3,96,6,12
1121,19.2666666666667,621,36,14,120,55,57,12,12.4166666666667,1.14285714285714,5,14,12,9
