trunkId, day1, day2, day3, day4, day5,
1604,509,0,0,0,0,
6594,894,0,0,0,0,
4008,260,0,0,0,0,
1489,236,0,0,0,0,
361,325,790,136,187,395,
7685,20264,20324,0,15821,16001,
1995,186,0,0,0,0,
992,126,143,203,373,81,
1214,440,0,300,134,137,
6766,9462,0,112,4949,7263,
6776,3220,0,322,0,0,
5572,176,0,0,0,0,
7669,448,0,0,0,78,
7093,179,0,0,0,0,
3481,158,0,0,0,0,
6851,2382,0,3718,100,2308,
8118,14033,14652,15034,10838,0,
7392,127,0,0,0,0,
1363,87,0,0,0,0,
772,66,0,468,0,0,
3042,87,0,0,0,0,
6768,68,0,0,0,0,
4556,181,398,342,4255,537,
5183,143,0,0,0,0,
8733,90,0,0,0,0,
6382,89,4242,4115,0,0,
6767,134,0,0,212,4511,
8074,75,0,0,0,0,
7300,128,0,0,68,0,
8219,138,229,208,3780,2960,
4527,4009,212,0,0,0,
8506,192,0,0,0,0,
8072,77,0,0,0,0,
7588,61,0,0,0,0,
3658,514,0,5721,0,106,
3028,345,0,0,1218,0,
7116,167,0,182,0,0,
2016,303,0,567,239,126,
6379,1084,155,2460,4783,6917,
6410,98,0,102,89,316,
7734,5126,24382,8950,8326,7935,
8041,12728,0,0,1482,0,
7122,262,0,0,0,0,
4571,165,219,214,92,184,
3293,199,0,0,0,0,
4531,439,1243,325,0,0,
5791,101,0,0,0,0,
1547,99,0,0,0,0,
1842,98,0,0,0,0,
3731,330,0,0,0,0,
4560,77,0,0,0,495,
8652,712,0,886,886,861,
2321,115,0,0,0,0,
3659,139,0,0,0,0,
8734,63,0,0,0,0,
71,11826,11703,12037,12080,10756,
5210,69,0,0,0,0,
3807,96,0,0,0,0,
1405,263,0,0,0,0,
524,130,157,267,0,86,
7405,347,0,0,0,0,
3827,178,0,0,0,0,
1481,70,0,0,0,0,
3002,194,0,0,0,0,
3427,384,0,307,163,134,
3924,88,0,0,0,0,
6374,115,286,0,0,0,
8000,143,0,0,0,0,
825,482,509,509,405,482,
1698,136,165,0,0,100,
2982,420,0,0,122,0,
4858,148,0,0,0,234,
8583,342,0,84,173,281,
5916,804,1565,1683,0,0,
521,630,211,1175,137,388,
2085,459,2751,104,2166,114,
2119,1364,0,0,0,0,
2697,65,0,0,0,0,
4021,64,0,0,0,0,
810,140,78,0,65,0,
8138,119,0,93,2797,706,
4803,214,0,0,0,0,
8394,115,279,2600,3140,0,
4908,99,0,0,0,0,
895,316,0,127,260,0,
4175,226,0,0,88,0,
1077,63,849,67,90,3257,
6582,114,0,0,0,81,
6698,255,106,92,375,157,
3936,115,0,0,102,0,
1391,7467,0,3273,206,0,
7908,98,106,2315,0,3667,
2071,1030,166,404,127,100,
6603,148,0,0,0,0,
1365,99,0,0,0,0,
7528,75,60,0,0,0,
6521,63,0,105,0,215,
4857,236,0,0,110,0,
6527,64,0,0,0,70,
3744,815,345,2476,1073,1809,
168,860,801,858,0,171,
1551,80,0,161,0,88,
819,274,213,0,0,0,
1826,304,364,450,523,368,
8160,73,0,0,0,116,
2764,252,0,0,0,0,
7263,82,0,728,0,0,
8521,117,763,477,360,0,
8584,150,0,0,0,0,
2928,94,0,478,0,0,
8137,1770,0,0,0,1140,
7120,78,0,421,149,134,
7112,12854,0,0,7571,9569,
5506,75,0,0,0,0,
4162,197,0,0,0,4809,
3739,102,0,0,60,656,
6710,58796,16352,8893,21927,5632,
127,2254,5280,3289,0,35085,
358,1238,2003,0,0,717,
2265,562,0,96,0,109,
6854,7793,0,0,0,0,
2017,110,297,0,104,0,
2105,43939,0,0,60014,19190,
1962,215,728,1670,109,687,
5946,2918,0,3352,3085,1713,
6902,532,0,182,68,0,
1121,93,0,213,100,621,
3654,151,0,0,171,97,
7896,86,0,103,201,0,
3209,6618,0,5085,4759,7001,
6635,80,6005,6074,2287,0,
551,106,0,0,0,0,
8492,246,119,0,0,3756,
6117,582,0,899,0,9689,
6997,9882,0,0,8215,9135,
7678,5942,147,8451,5458,6592,
539,367,0,0,0,527,
8552,83,207,0,0,0,
3349,729,0,0,0,0,
4502,114,0,0,0,0,
7855,1528,0,1866,0,10088,
1125,988,312,558,378,391,
238,10701,1389,2320,2110,9845,
5450,138,370,0,135,269,
7240,9798,0,2389,7705,10197,
3509,59858,0,61991,16988,23467,
6887,16960,0,20698,0,4040,
5102,113,62,0,0,0,
7320,3060,0,0,1437,639,
1379,947,0,0,0,339,
7733,81,0,0,0,0,
3496,4012,66,2232,1193,1760,
5703,289,379,2176,4469,4158,
6077,6440,8607,0,5553,28801,
317,2415,2010,923,1683,251,
3605,19565,0,0,126,209,
8023,13049,75,154,344,351,
8557,599,75,0,2786,3581,
5107,870,3103,0,10419,0,
4013,3670,0,5900,0,0,
6801,183,0,0,289,197,
6689,368,0,0,151,0,
6972,12073,0,5264,1675,5425,
6740,181,102,60,109,0,
7739,1876,0,0,0,363,
8598,1573,0,0,78,0,
2225,6711,3641,7303,15451,609,
6196,546,1184,114,0,4607,
2311,379,0,0,0,0,
3652,184,0,0,135,0,
5750,523,0,643,723,97,
8284,1940,1707,0,808,2399,
3339,405,0,575,776,0,
4562,13567,5308,5088,1473,463,
6852,4189,0,2895,0,3966,
6614,3927,0,0,1547,0,
7426,3997,3620,4390,3935,3834,
4016,195,3657,3346,3963,3736,
218,1153,194,0,372,0,
1921,5510,0,0,0,68,
7165,124,0,218,0,598,
7187,182,0,0,0,440,
7935,1789,1181,675,583,1146,
7063,919,0,0,1135,455,
8812,5356,6303,6366,3250,0,
1373,5248,5490,0,0,4885,
8456,5661,0,61,0,0,
3408,121,0,636,423,153,
5898,1137,257,668,99,168,
6559,2289,5391,189,1493,2461,
6973,268,0,0,1797,0,
7477,82,0,0,0,77,
586,80,0,0,0,0,
2467,560,600,0,0,0,
715,77,77,0,119,0,
8499,557,2144,837,0,314,
7053,6522,0,0,6603,0,
8735,300,0,0,186,0,
8286,2772,834,0,0,1370,
4706,590,0,0,203,5279,
2628,499,996,0,0,0,
3215,2757,0,1504,3070,581,
6960,1174,0,1310,1070,1091,
5140,791,1303,0,66,0,
7184,961,0,1607,326,857,
561,1389,443,215,739,0,
6362,61,0,996,0,0,
7503,2909,997,397,988,2733,
867,179,0,1652,0,1474,
1471,487,741,405,260,0,
6568,2062,2182,0,1518,1580,
3365,135,0,0,0,0,
3813,170,0,808,0,0,
4197,394,16723,0,248,323,
4319,6665,0,688,3028,6440,
6665,9493,8240,0,0,0,
6193,164,422,1095,767,0,
6826,667,0,0,0,2620,
7470,228,2090,102,326,138,
7776,192,805,0,152,0,
298,11649,5555,0,509,3030,
326,100,0,0,0,65,
668,283,0,225,0,1082,
6573,1493,60,1270,1198,1247,
7961,11323,7034,5133,6089,10623,
5725,705,175,0,0,0,
2307,312,0,0,0,0,
6494,4746,356,703,1506,2195,
8457,228,0,110,697,0,
986,87,235,0,156,209,
7978,1752,7428,0,0,0,
3662,8230,0,0,5262,0,
6574,1105,1548,1941,1561,2504,
1688,902,0,0,0,0,
3198,463,0,0,410,0,
7069,583,0,647,2020,2103,
5374,244,0,0,211,72,
2896,3248,0,152,0,0,
6634,66,0,284,2695,0,
2256,404,69,260,121,235,
3769,2235,2121,1440,1717,0,
4669,1955,2837,1630,0,652,
5070,4336,215,0,477,3369,
6140,4103,0,0,0,0,
7835,971,898,0,212,0,
1485,6104,360,1969,200,0,
866,142,2374,1163,0,3312,
3409,101,0,349,5881,0,
3938,1157,0,2937,0,161,
3784,2446,0,0,1343,396,
5141,4528,0,0,1500,1805,
3649,3194,0,5178,13132,0,
6162,285,132,0,140,70,
6653,360,0,0,0,0,
5814,1120,145,77,12221,0,
1076,13606,6493,8204,5045,0,
8660,7407,0,0,0,1554,
4964,1384,0,84,0,422,
4709,1514,1591,93,1510,1111,
7454,2398,0,2091,1276,1959,
7925,259,883,0,5017,6413,
903,6936,5850,8248,0,385,
4545,276,108,0,183,1235,
2724,1236,118,164,0,0,
1217,120,78,0,62,0,
4895,530,177,126,207,524,
6087,3347,0,0,0,399,
7228,176,0,0,0,198,
2072,3844,0,411,231,0,
3130,182,0,0,0,0,
8419,1698,0,1773,0,1414,
8534,17964,1910,3568,0,906,
2399,4019,4474,4514,5047,0,
5111,2651,0,0,0,0,
4965,3779,2466,845,673,417,
5262,188,207,0,0,275,
7269,3832,0,0,2718,2131,
5739,764,0,763,764,0,
6347,1856,155,165,0,0,
5743,8674,5498,7423,7067,0,
8786,737,859,331,487,1264,
171,121,138,340,140,0,
385,1835,922,654,0,822,
7398,9629,11704,6812,4263,5545,
4475,2114,0,548,336,447,
6981,16202,0,11255,6626,13674,
7930,299,3702,0,752,0,
8049,2112,0,0,64,955,
3585,575,871,321,0,243,
162,1695,1022,0,0,208,
569,1064,664,966,1110,1010,
1224,579,152,267,0,369,
8183,770,289,2456,0,0,
2381,3311,1308,2392,2312,2564,
4868,648,0,88,0,0,
5127,444,583,0,488,0,
6625,539,434,209,178,109,
7212,717,0,0,485,63,
7900,210,65,77,0,247,
1944,425,0,0,0,0,
1572,232,280,243,101,135,
1783,292,522,221,330,0,
1310,4664,515,0,988,0,
6923,355,0,0,330,0,
0,260,1157,0,1430,189,
370,3977,0,1501,0,83,
8589,120,0,0,0,165,
8728,3064,0,3175,0,0,
8383,2876,68,0,0,0,
8267,790,1401,316,443,113,
1394,338,0,341,592,196,
1418,379,0,90,83,265,
7225,1632,0,0,149,0,
5356,829,833,0,0,0,
1926,156,69,1094,322,0,
5597,66,0,0,0,0,
3595,1602,0,1419,1967,1759,
7934,1271,0,1098,622,1252,
3228,66,0,96,0,169,
5251,2457,1333,0,543,0,
3816,360,0,0,423,580,
616,163,169,0,86,0,
833,761,804,579,431,691,
1730,130,280,425,148,140,
1343,622,70,155,0,211,
3331,556,0,482,213,0,
3500,2935,23095,23103,62,0,
7721,115,0,9350,3574,4130,
8344,15899,0,239,13402,14940,
6072,888,786,496,0,272,
7020,146,0,0,124,0,
4461,138,0,0,0,0,
286,2415,1914,1578,0,2169,
5332,76,90,0,166,81,
8001,2017,1167,646,866,113,
5124,1198,0,0,898,0,
6728,150,0,701,719,92,
6749,7489,8539,269,264,9273,
6979,60,0,0,0,0,
4788,4349,641,0,265,0,
8147,1450,0,471,333,596,
893,275,248,1510,564,84,
5419,2898,0,0,515,0,
7377,1525,423,1142,814,1447,
6651,4813,0,0,0,0,
1109,431,0,0,0,0,
1910,393,138,0,0,0,
3242,1152,0,500,168,0,
4287,396,0,258,270,249,
5405,3187,0,0,343,2624,
5903,109,188,0,0,0,
8293,2442,0,0,0,1196,
2334,732,108,0,0,628,
6380,479,4871,5165,0,0,
7459,65,267,231,917,0,
3714,534,0,0,0,0,
8463,636,640,1336,726,1938,
5793,13857,0,0,0,0,
8024,697,229,231,339,391,
6658,4748,4409,4563,3262,0,
8785,349,0,92,0,412,
1593,71,0,0,0,0,
665,591,2270,0,200,0,
5885,116,3652,0,0,6753,
8291,13713,0,4538,0,7312,
5780,1161,98,829,420,984,
7818,218,281,521,0,0,
1181,169,0,206,121,611,
6946,4353,0,124,0,0,
1385,194,0,0,0,0,
8058,7296,0,1952,3569,0,
2013,619,0,7381,0,0,
5420,1168,0,0,0,0,
8370,2531,100,0,0,0,
6314,2952,0,95,0,0,
7640,752,1780,77,362,652,
3174,714,0,740,0,0,
7840,617,0,3185,317,6760,
342,507,3346,0,772,0,
7331,111,490,0,444,148,
6344,2941,2889,4902,2160,3395,
1468,211,516,0,0,0,
8434,105,92,177,185,68,
3488,296,0,0,1914,254,
7023,4769,0,0,0,0,
7038,2064,0,105,0,0,
5149,510,0,0,0,125,
964,1212,0,0,0,403,
6378,82,131,356,103,1402,
3573,149,122,77,0,211,
1069,360,0,0,0,138,
7995,2457,2482,421,2034,278,
3369,160,0,170,0,1078,
7394,298,128,267,344,0,
1726,243,0,823,182,951,
1617,863,91,230,627,547,
4080,640,0,255,0,0,
7471,322,1868,295,438,0,
7812,2478,0,1972,558,0,
1144,1151,0,0,0,0,
8158,1263,4779,0,2351,0,
8701,1949,0,0,61,0,
4208,1094,157,0,0,397,
2224,2819,1328,0,4876,14529,
5510,384,0,0,0,0,
5604,4932,751,0,891,0,
988,144,293,0,0,0,
7265,298,0,0,0,0,
7877,3715,479,2199,3759,0,
864,1567,0,0,0,0,
3540,26495,0,28526,22980,25840,
3118,3111,0,6705,2982,512,
8738,1603,1885,214,745,408,
6785,215,0,0,169,107,
6125,4000,0,0,119,1604,
6271,274,291,92,138,0,
6958,342,0,102,88,0,
518,190,415,466,542,724,
8161,2572,0,0,944,1996,
2844,554,0,144,92,74,
389,151,0,69,186,0,
1952,260,0,70,0,0,
7506,71,98,0,0,0,
377,361,0,0,0,0,
6945,77,0,766,0,1371,
8303,716,152,122,0,535,
6298,65,281,64,0,0,
7747,595,3540,680,0,283,
7490,6698,3621,97,3144,4091,
3565,574,369,474,0,385,
8224,3853,0,0,2356,4147,
1390,242,0,0,0,0,
7017,489,0,0,636,553,
7461,656,0,643,318,407,
6865,76,0,0,0,0,
2964,73,0,103,0,0,
5679,347,226,369,235,416,
6101,950,0,0,0,261,
441,498,97,830,101,0,
1568,1666,161,448,237,184,
1111,1219,270,101,242,117,
1134,117,159,181,74,0,
1091,372,0,250,0,0,
1119,583,164,1616,1516,1325,
6657,348,0,0,0,0,
7510,507,236,0,171,0,
4555,4710,2355,2396,0,113,
5009,191,139,79,0,0,
5846,229,121,138,99,370,
6320,3280,0,1526,73,0,
7803,144,238,156,0,0,
8005,178,111,0,406,120,
5931,234,0,1186,97,86,
6753,1668,140,225,0,737,
5168,86,100,0,0,165,
6236,74,0,0,0,0,
5937,339,0,0,0,0,
1176,480,593,597,254,579,
1234,215,144,135,104,159,
6297,499,601,601,0,81,
1189,172,836,302,295,608,
2235,269,194,72,63,66,
8439,21246,15901,0,0,0,
5041,2933,1726,0,1107,0,
6133,785,0,0,0,0,
6418,709,1173,873,924,2697,
6172,168,0,0,0,0,
6866,113,0,0,0,0,
7219,107,0,322,110,120,
8254,582,96,0,0,0,
1177,217,0,137,124,326,
2853,1509,3678,119,1007,0,
3117,2645,0,156,119,0,
821,148,0,0,0,0,
3723,158,74,0,0,0,
600,858,1285,880,0,1089,
3575,217,278,95,318,196,
1803,60,0,257,128,0,
7235,60,0,0,0,0,
3686,69,1300,97,197,0,
6135,666,571,0,0,107,
1088,777,0,0,0,0,
4454,475,86,0,138,0,
807,65,0,0,0,0,
3699,1005,1084,1503,345,179,
4793,64,0,0,0,0,
440,5841,1316,153,71,155,
5056,257,188,0,147,1580,
7337,90,0,0,0,0,
73,163,0,0,0,0,
3689,740,5353,667,0,0,
633,160,162,70,139,103,
8108,95,342,90,591,1383,
6076,249,0,0,0,0,
6427,546,197,0,575,518,
8759,80,0,0,0,0,
1061,514,72,0,0,0,
307,305,0,483,212,0,
3697,250,76,1094,0,0,
308,415,93,1561,0,1536,
7372,1484,225,434,0,0,
2089,586,82,296,0,76,
6483,112,0,0,0,0,
8430,111,168,165,0,117,
4460,72,0,0,0,0,
1490,333,190,107,144,0,
3806,60,94,0,0,0,
6843,88,0,123,0,191,
967,1290,68,724,0,0,
1045,413,0,376,441,258,
1469,155,0,213,389,0,
7892,1542,0,0,0,0,
1383,680,0,0,146,105,
4830,152,0,0,0,0,
1367,137,0,0,0,0,
2349,74,0,0,0,0,
8222,105,74,137,92,0,
4835,225,0,0,0,0,
5306,92,0,0,0,202,
6814,722,0,0,440,175,
4581,165,333,455,129,166,
6088,1231,240,0,1655,0,
160,603,237,460,116,215,
1212,67,78,0,0,0,
8251,86,145,0,0,0,
5406,130,71,0,0,0,
6877,612,0,0,143,867,
8634,92,71,211,249,0,
3122,348,0,0,300,135,
6011,170,120,137,252,0,
7554,193,156,0,166,230,
455,943,145,0,0,0,
7453,1650,3036,1552,0,1548,
6444,2145,1955,0,5351,1935,
6620,930,915,976,0,116,
985,326,148,433,0,332,
3817,83,0,206,0,0,
5976,123,0,0,0,0,
2816,74,0,0,0,0,
3709,914,71,0,0,0,
4861,136,0,0,123,0,
7296,158,0,0,0,0,
1716,634,0,637,0,0,
3395,64,0,0,0,0,
3397,77,0,0,0,73,
7743,156,143,0,0,164,
1060,192,131,74,119,65,
1357,668,0,0,422,85,
6461,341,0,135,0,0,
287,208,0,0,0,0,
345,724,0,1551,0,0,
365,69,0,65,0,0,
2846,158,90,0,159,0,
603,426,0,0,296,0,
5655,214,98,93,0,156,
7755,154,0,0,160,287,
8051,393,0,0,152,0,
1261,133,0,67,120,0,
5271,117,2304,0,0,570,
5709,96,0,0,0,0,
225,157,160,285,0,239,
7841,1028,1503,816,556,245,
7031,364,0,0,0,0,
2002,2147,0,0,0,227,
8608,1244,1864,672,676,0,
1476,72,0,0,0,0,
6424,214,91,66,96,0,
625,118,221,111,245,93,
442,148,62,0,240,0,
3510,97,73,0,0,0,
797,525,262,77,596,142,
1280,62,139,0,231,189,
2698,78,83,185,0,145,
5837,113,0,224,381,105,
5741,162,0,63,0,0,
3757,467,61,0,0,89,
8642,239,415,1202,3885,2491,
7397,80,146,0,100,0,
196,222,0,0,0,0,
1155,136,159,0,250,550,
8314,140,0,120,0,0,
6315,3607,0,74,0,3442,
1396,125,92,495,0,290,
1590,131,967,655,84,380,
1812,190,0,0,855,423,
3944,1901,0,0,0,0,
501,146,169,249,0,63,
2466,11476,0,5478,172,0,
4459,150,0,0,0,0,
6957,82,0,1175,0,134,
1010,348,339,336,186,329,
1301,237,265,166,146,260,
5308,123,690,0,0,0,
1959,177,547,0,0,0,
1554,643,0,105,558,0,
5069,289,0,0,140,0,
7383,1430,2492,0,2025,2687,
1225,278,101,0,342,0,
4065,1198,0,0,303,355,
8488,106,0,0,63,0,
163,1115,1208,2078,465,388,
192,226,885,0,521,3679,
6231,81,0,0,0,85,
6896,114,0,0,0,0,
4607,102,0,109,0,0,
6383,1032,0,0,0,0,
346,88,0,0,0,0,
1720,186,3706,138,330,0,
1793,402,0,385,89,129,
336,112,0,0,0,0,
731,82,110,668,0,174,
1049,155,0,0,105,0,
1610,244,0,0,0,0,
6323,492,0,103,514,0,
3166,615,0,0,0,0,
3479,265,546,321,105,0,
5446,2410,0,0,770,0,
8459,2054,65,75,119,0,
7118,76,0,0,0,0,
8329,3160,3495,0,3114,3083,
2108,1841,372,9622,0,2660,
6572,527,0,1965,0,1444,
5868,9805,7343,5094,0,0,
5869,176,0,0,0,73,
41,93,0,0,0,0,
2845,135,0,0,0,0,
751,172,0,110,0,158,
5472,248,0,0,0,0,
6095,1129,0,0,2419,2872,
8231,70,0,183,99,288,
4450,312,0,0,0,697,
7985,398,189,276,65,205,
2848,252,115,0,453,0,
7355,85,165,116,0,0,
8189,398,1297,0,0,152,
2106,495,4532,1598,393,753,
2997,64,0,0,0,168,
332,128,2142,198,80,111,
2612,62,0,0,0,0,
339,112,0,0,183,218,
2323,629,750,186,0,0,
6891,300,0,110,0,0,
8516,1114,0,382,89,433,
8449,5816,2153,2086,2172,2087,
1931,2416,1532,476,1963,3003,
2229,471,0,0,0,0,
8004,570,1963,614,687,485,
1718,5403,0,0,486,3919,
1756,188,0,0,0,86,
7719,578,0,0,0,0,
4554,147,695,0,264,116,
49,231,0,0,0,0,
1621,134,0,0,205,0,
786,119,267,86,193,287,
1063,825,443,201,493,260,
1210,433,251,357,361,104,
1355,505,361,103,0,101,
2029,194,0,145,67,137,
8617,97,66,0,431,0,
7659,166,0,111,101,95,
147,133,1595,0,0,100,
2611,72,75,0,0,67,
2624,102,0,0,0,0,
4579,78,0,0,0,0,
4694,438,298,0,261,602,
6892,899,0,5475,1223,993,
873,134,102,101,105,65,
5740,1020,271,153,715,791,
7567,1372,0,81,0,217,
