trunkId, day1, day2, day3, day4, day5,
1604,96,0,0,0,0,
6594,28,0,0,0,0,
4008,3,0,0,0,0,
1489,6,0,0,0,0,
361,14,27,6,4,4,
7685,77,25,0,62,59,
1995,6,0,0,0,0,
992,7,10,8,11,6,
1214,3,0,8,7,13,
6766,75,0,6,65,71,
6776,57,0,18,0,0,
5572,3,0,0,0,0,
7669,20,0,0,0,5,
7093,5,0,0,0,0,
3481,6,0,0,0,0,
6851,5,0,37,4,17,
8118,59,56,63,52,0,
7392,11,0,0,0,0,
1363,6,0,0,0,0,
772,3,0,38,0,0,
3042,3,0,0,0,0,
6768,3,0,0,0,0,
4556,20,15,9,29,22,
5183,9,0,0,0,0,
8733,5,0,0,0,0,
6382,5,69,79,0,0,
6767,7,0,0,5,27,
8074,3,0,0,0,0,
7300,4,0,0,3,0,
8219,9,7,12,80,2,
4527,10,6,0,0,0,
8506,4,0,0,0,0,
8072,4,0,0,0,0,
7588,4,0,0,0,0,
3658,5,0,57,0,2,
3028,23,0,0,50,0,
7116,3,0,8,0,0,
2016,14,0,9,17,13,
6379,67,4,68,63,60,
6410,10,0,7,4,13,
7734,78,71,69,70,70,
8041,63,0,0,58,0,
7122,5,0,0,0,0,
4571,12,13,15,7,14,
3293,6,0,0,0,0,
4531,34,41,21,0,0,
5791,10,0,0,0,0,
1547,7,0,0,0,0,
1842,6,0,0,0,0,
3731,7,0,0,0,0,
4560,6,0,0,0,38,
8652,96,0,96,96,96,
2321,8,0,0,0,0,
3659,7,0,0,0,0,
8734,6,0,0,0,0,
71,79,69,71,18,61,
5210,7,0,0,0,0,
3807,3,0,0,0,0,
1405,17,0,0,0,0,
524,23,15,27,0,12,
7405,22,0,0,0,0,
3827,11,0,0,0,0,
1481,8,0,0,0,0,
3002,26,0,0,0,0,
3427,16,0,20,15,11,
3924,7,0,0,0,0,
6374,3,6,0,0,0,
8000,2,0,0,0,0,
825,96,96,96,95,95,
1698,4,6,0,0,2,
2982,96,0,0,7,0,
4858,10,0,0,0,38,
8583,49,0,10,64,17,
5916,96,96,29,0,0,
521,28,6,64,18,22,
2085,14,74,5,75,19,
2119,44,0,0,0,0,
