trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
51,26.6166666666667,431,142,37,69,25,63,13,17.1333333333333,1.3,8,37,4,2
2618,1.7,102,4,4,0,0,12,12,0.85,1,1,4,12,4
1397,6.53333333333333,308,10,8,0,0,63,57,2.76666666666667,1.21276595744681,2,2,57,2
150,38.0833333333333,1299,65,25,1267,1225,54,20,14.8333333333333,1.25,6,5,17,3
1905,61.8666666666667,2841,111,67,90,72,62,22,76.15,1.66666666666667,5,67,17,2
559,358.95,7221,270,79,358,99,49,16,252.1,1.5,6,79,16,79
2613,51.6666666666667,1000,80,13,381,144,145,31,40.3,1.33333333333333,11,13,31,13
673,32.7,571,47,11,258,124,159,58,20.6333333333333,1.26666666666667,6,11,14,6
1445,20.9666666666667,471,77,22,96,37,75,19,15.45,1.2,7,22,5,11
2413,3.93333333333333,236,3,3,31,31,11,11,3.55,1.25,1,3,11,3
552,15.8833333333333,216,39,9,97,41,72,29,8.23333333333333,1.16666666666667,6,6,29,6
2835,2.05,123,2,2,0,0,20,20,0.766666666666667,1.33333333333333,1,2,20,2
1778,8.71666666666667,523,14,14,33,33,15,15,7.46666666666667,1.15384615384615,1,14,15,14
1279,3.05,97,7,5,0,0,8,5,1.81666666666667,1,2,2,3,5
1704,11.7,609,17,15,41,41,17,9,5.6,1.14285714285714,2,15,9,15
82,5.11666666666667,181,12,7,0,0,24,18,2.33333333333333,1.33333333333333,2,7,6,5
1108,17.2166666666667,535,40,24,143,59,36,10,13.1666666666667,1.33333333333333,5,24,4,5
1416,10.2333333333333,201,33,12,41,18,26,10,7.15,1.2,4,8,6,12
975,6.81666666666667,409,7,7,103,103,21,21,3.6,1.25,1,7,21,7
895,8.05,150,24,8,82,39,20,8,3.86666666666667,1.33333333333333,4,8,3,5
797,6.68333333333333,159,11,5,18,18,41,19,4.31666666666667,1.21428571428571,3,2,19,2
1980,5.91666666666667,116,23,7,15,9,34,12,3.3,1.25,4,7,7,4
1916,1.48333333333333,89,3,3,0,0,11,11,1.05,1.22222222222222,1,3,11,3
1907,2.31666666666667,139,8,8,46,46,13,13,3.75,1.5,1,8,13,8
2125,32.3166666666667,690,39,10,138,104,71,21,18.5,1.33333333333333,6,10,21,10
1930,67.2,912,78,22,523,251,77,17,45.9,1.33333333333333,13,22,5,7
2305,28.0333333333333,1593,74,69,49,35,23,15,16.9333333333333,1.14285714285714,2,69,8,5
2610,1.83333333333333,110,10,10,24,24,22,22,1.68333333333333,1.33333333333333,1,10,22,10
1165,46.1166666666667,754,34,9,143,121,23,4,24.8166666666667,1.5,7,7,4,7
1403,33.7333333333333,856,84,18,298,154,74,16,24.0166666666667,1.33333333333333,10,18,16,18
2059,159.683333333333,3446,209,77,172,49,65,31,185.1,1.28571428571429,5,77,16,61
2189,39.55,929,48,12,260,126,78,20,28.1,1.5,8,9,20,9
2386,2.16666666666667,130,4,4,0,0,8,8,1.05,1.14285714285714,1,4,8,4
791,1.26666666666667,76,5,5,0,0,11,11,0.4,1.22222222222222,1,5,11,5
1644,1.13333333333333,68,5,5,0,0,11,11,1,1.1,1,5,11,5
2172,1247.76666666667,19890,286,70,1408,458,85,20,1285.98333333333,1.33333333333333,6,70,20,67
205,8.6,276,37,19,49,33,30,21,7.16666666666667,1.125,2,18,9,19
1305,1.7,102,7,7,12,12,8,8,1.16666666666667,1.14285714285714,1,7,8,7
71,35.5666666666667,459,84,21,147,50,152,26,25.6833333333333,1.33333333333333,12,5,22,5
2717,2.35,80,10,6,0,0,11,6,0.983333333333333,1,2,4,6,4
2757,2.35,141,8,8,6,6,4,4,0.383333333333333,1,1,8,4,8
2783,1.38333333333333,83,7,7,13,13,11,11,0.866666666666667,1.22222222222222,1,7,11,7
2931,1.03333333333333,62,8,8,0,0,3,3,0.516666666666667,1,1,8,3,8
2306,224,7383,238,74,337,162,75,17,211.2,1.5,6,74,14,28
543,5.91666666666667,128,30,16,10,10,17,5,3.21666666666667,1,4,16,5,5
364,21.3666666666667,1090,30,22,67,46,13,5,8.68333333333333,1.33333333333333,3,22,4,5
676,8.9,434,14,7,0,0,35,29,6.5,1.29411764705882,2,7,29,7
672,36.65,658,94,33,109,61,120,37,15.7166666666667,1.2,9,6,37,6
1979,100.1,4454,122,75,461,223,59,19,105.333333333333,1.16666666666667,5,75,6,12
1455,2.16666666666667,130,9,9,14,14,3,3,1.25,1,1,9,3,9
544,2.51666666666667,80,4,2,0,0,8,5,0.366666666666667,1,2,2,3,2
317,13.0166666666667,388,17,8,6,6,16,10,3.71666666666667,1.11111111111111,3,5,3,4
725,6.98333333333333,224,22,11,0,0,23,12,0.516666666666667,1.375,2,11,11,11
464,15.5166666666667,651,108,58,36,32,28,18,20.05,1.66666666666667,2,50,18,50
1097,21.2833333333333,1086,60,34,44,37,37,19,21.6666666666667,1.35714285714286,3,34,19,34
353,30.9333333333333,1411,27,14,186,165,45,28,30.2,1.16666666666667,3,14,28,14
387,32.8,209,88,11,209,77,160,20,13.45,1.22222222222222,14,6,13,6
2877,7.46666666666667,138,25,8,9,9,42,22,3.93333333333333,1.57142857142857,5,4,7,5
157,136.2,4853,126,59,209,91,42,21,146.85,1.33333333333333,5,59,21,59
1045,211,9440,240,168,122,58,26,15,179.283333333333,1.22222222222222,3,168,3,35
1786,27.3833333333333,980,67,16,157,66,84,25,26.4666666666667,1.3125,6,16,25,16
2460,17.0833333333333,209,24,6,22,22,38,10,9.1,1.4,8,2,10,2
279,16.2833333333333,362,29,6,34,24,52,25,8.36666666666667,1.4,6,5,25,5
2292,3.2,127,9,5,32,32,10,7,2,1.16666666666667,2,5,3,4
229,145.2,4862,202,64,191,83,68,30,150.216666666667,1.15384615384615,5,62,30,62
2690,1.25,75,2,2,0,0,6,6,0.416666666666667,1,1,2,6,2
867,20.65,486,34,17,157,93,33,9,11.6,1.14285714285714,5,17,5,3
253,6.28333333333333,157,21,12,37,20,10,4,2.16666666666667,1,3,12,3,5
1771,30.2666666666667,939,108,53,80,43,38,11,25.35,1.28571428571429,5,53,5,33
1170,23.9166666666667,1299,33,29,124,73,15,8,19.5333333333333,1.14285714285714,2,29,8,29
1915,104.866666666667,2655,140,52,678,492,38,10,94.3666666666667,1.25,7,8,10,8
126,32.9166666666667,643,187,63,55,20,36,9,28.0166666666667,1.33333333333333,6,63,3,7
421,189.7,5034,99,19,802,287,50,6,183.316666666667,1.2,11,19,5,17
2331,47.8,1558,31,14,344,130,17,6,46.5666666666667,1,4,14,6,14
1227,143.333333333333,8600,22,22,656,656,34,34,120.6,1.21739130434783,1,22,34,22
148,1.71666666666667,103,2,2,0,0,9,9,0.266666666666667,1,1,2,9,2
829,55.4166666666667,2277,70,44,170,53,99,29,21.5,1.27272727272727,6,44,29,44
1987,20,295,71,14,87,26,86,18,12.5833333333333,1.23076923076923,10,11,18,11
1850,11.6833333333333,328,18,6,97,62,30,15,9.6,1.42857142857143,3,6,15,6
1591,1.31666666666667,79,8,8,0,0,3,3,0.816666666666667,1,1,8,3,8
547,254.383333333333,3309,343,69,266,86,95,28,230.416666666667,1.33333333333333,6,48,9,69
136,3.58333333333333,120,11,9,7,7,13,10,1.86666666666667,1,2,9,3,2
1023,237.933333333333,7545,214,57,275,162,25,8,199.433333333333,1.2,4,46,8,46
2410,42.2333333333333,1781,21,7,351,252,39,10,30.85,1,6,7,10,7
896,53.0166666666667,2051,50,20,332,217,49,28,48.05,1.33333333333333,6,20,28,20
115,251.433333333333,7929,142,57,287,141,99,38,211.633333333333,1.28571428571429,7,57,22,11
