trunkId, day1, day2, day3, day4, day5,
51,18,13,30,32,49,
2618,4,0,0,0,0,
1397,2,8,0,0,0,
150,9,8,0,18,30,
1905,2,34,67,0,8,
559,7,11,80,77,78,
2613,29,23,13,6,9,
673,11,20,0,14,2,
1445,9,31,14,23,0,
2413,3,0,0,0,0,
552,19,0,0,14,6,
2835,2,0,0,0,0,
1778,14,0,0,0,0,
1279,7,0,0,0,0,
2958,3,0,0,0,0,
1704,2,15,0,0,0,
82,5,7,0,0,0,
1108,33,4,3,0,0,
1416,8,5,12,0,8,
975,7,0,0,0,0,
1198,16,51,8,40,59,
895,3,8,2,5,0,
797,4,2,0,5,0,
1980,13,6,0,4,0,
1955,4,0,2,0,6,
639,10,6,6,17,30,
1916,3,0,0,0,0,
1907,8,0,0,0,0,
2125,5,18,6,10,0,
1930,12,18,31,7,10,
2305,5,0,0,69,0,
2610,10,0,0,0,0,
1165,12,2,5,0,15,
1403,37,24,0,12,11,
1574,8,9,2,7,6,
2059,7,0,70,71,61,
2189,6,4,21,0,17,
2386,4,0,0,0,0,
791,5,0,0,0,0,
1644,5,0,0,0,0,
2172,72,70,70,68,6,
205,18,19,0,0,0,
1536,6,0,0,0,0,
1305,7,0,0,0,0,
71,17,4,5,36,22,
1154,26,30,17,0,30,
2717,10,0,0,0,0,
2757,8,0,0,0,0,
2783,7,0,0,0,0,
2931,8,0,0,0,0,
2306,30,48,58,28,74,
543,7,21,0,2,0,
364,27,0,0,0,3,
676,7,7,0,0,0,
672,11,19,11,39,14,
1979,24,12,0,11,75,
1455,9,0,0,0,0,
2243,44,0,13,4,10,
544,2,2,0,0,0,
317,4,0,0,13,0,
725,11,0,0,11,0,
464,58,23,27,0,0,
1097,11,23,11,15,0,
353,3,14,0,0,10,
2085,9,0,0,0,0,
387,22,12,20,18,16,
2877,3,4,0,13,5,
157,14,24,29,59,0,
1195,25,12,7,0,38,
1045,96,72,14,0,35,
1786,19,12,16,6,14,
2460,4,5,5,10,0,
279,9,10,4,0,6,
2292,4,5,0,0,0,
229,66,52,62,22,0,
2690,2,0,0,0,0,
867,3,3,0,19,9,
253,4,0,5,0,12,
437,7,0,71,62,66,
1771,41,7,7,0,53,
1170,4,0,0,0,29,
1915,60,52,28,0,0,
126,5,59,63,60,0,
421,25,37,17,0,2,
1953,12,9,4,0,0,
2331,8,0,14,4,5,
2420,41,39,6,43,42,
1822,13,0,0,0,0,
1025,68,51,0,0,57,
1227,22,0,0,0,0,
148,2,0,0,0,0,
631,13,34,26,0,4,
829,6,4,5,51,4,
1987,14,6,25,8,10,
1850,12,0,0,6,0,
2915,21,14,11,9,30,
1591,8,0,0,0,0,
547,68,71,69,69,66,
136,9,0,2,0,0,
2596,19,0,6,0,0,
2410,2,0,5,3,11,
896,20,8,16,0,6,
115,23,53,0,9,57,
2034,9,15,12,8,9,
2477,17,26,12,13,12,
753,33,47,47,56,58,
123,2,0,9,15,0,
2106,32,30,22,24,28,
2600,12,0,10,0,0,
2580,11,0,0,0,0,
65,18,31,44,17,24,
978,21,2,56,15,14,
2703,9,17,11,19,0,
1291,19,26,21,24,17,
1342,39,65,71,73,44,
1642,66,0,0,0,0,
404,46,61,0,13,6,
885,68,71,63,0,70,
1860,6,13,0,62,77,
2857,6,0,7,0,0,
13,20,5,0,5,0,
470,5,0,10,0,5,
4834,6,9,0,0,0,
1548,16,0,0,11,0,
1936,8,0,9,0,0,
309,55,60,58,0,60,
1404,28,18,0,14,0,
1425,8,7,9,8,9,
2214,54,44,39,11,58,
375,32,18,11,8,28,
396,10,9,0,6,16,
2592,7,7,18,19,20,
2223,32,2,14,9,24,
1788,8,11,19,2,2,
1917,68,71,70,70,72,
2173,18,0,0,0,0,
193,18,9,9,25,8,
825,58,0,0,0,0,
2393,71,64,66,73,84,
171,57,0,0,65,69,
320,6,2,0,7,0,
1992,62,0,63,52,64,
2788,62,0,62,62,67,
1167,5,0,0,0,6,
1246,67,14,57,64,69,
2053,17,0,20,9,0,
2355,21,0,0,0,0,
2449,18,14,9,10,15,
2465,26,3,13,8,5,
165,31,24,28,23,23,
1204,20,5,28,34,25,
1689,9,0,0,8,35,
1842,7,0,7,0,8,
2123,33,7,17,11,54,
2561,4,6,0,0,2,
2759,25,21,0,6,8,
1134,8,5,11,0,0,
865,35,20,6,22,10,
998,15,12,14,12,0,
1794,3,0,0,8,0,
38,32,24,36,32,29,
380,9,0,0,0,15,
625,33,18,30,15,64,
845,19,22,27,23,37,
2359,13,24,20,0,9,
2183,6,10,9,3,11,
1268,37,9,41,7,46,
1550,11,0,0,0,0,
1734,8,0,0,0,0,
343,8,0,14,11,4,
1522,8,0,11,4,16,
2307,25,2,16,14,38,
2515,21,20,13,11,0,
1366,27,12,0,5,0,
2398,6,0,8,0,7,
2021,3,0,0,0,0,
1161,16,6,13,13,8,
1341,12,9,0,0,17,
1236,5,0,0,3,0,
1495,3,0,4,0,0,
2531,13,0,0,29,10,
626,31,42,19,0,0,
671,21,11,0,0,35,
2209,11,0,0,0,3,
2487,2,0,8,9,9,
