trunkId, iteration, wTCost, branchesCount, splits, costOfThisIterOnly, loadedFor, avgK
1480,1,39,12,2,17,1,1.2
35,1,32,2,0,4,1,1
1841,1,0,10,2,0,1,1.25
51,1,64,13,3,32,1,1.3
2113,1,41,20,5,10,1,1.33333333333333
65,1,0,7,0,0,1,1
71,1,37,8,1,0,1,1.14285714285714
2618,1,102,12,0,51,1,1
80,1,0,4,0,0,1,1
2026,1,0,3,1,0,1,1.5
1397,1,308,57,10,156,1,1.21276595744681
2814,1,0,4,0,0,1,1
2692,1,0,13,1,0,1,1.08333333333333
1385,1,23,2,0,15,1,1
2173,1,59,7,1,53,1,1.16666666666667
1739,1,14,12,1,0,1,1.09090909090909
148,1,26,11,1,26,1,1.1
150,1,60,20,0,7,1,1
159,1,27,5,0,16,1,1
2278,1,0,7,1,0,1,1.16666666666667
1905,1,98,22,6,93,1,1.375
559,1,72,6,2,36,1,1.5
1450,1,12,22,2,0,1,1.1
1416,1,48,11,1,4,1,1.1
464,1,31,24,6,14,1,1.33333333333333
223,1,0,2,0,0,1,1
226,1,62,2,0,27,1,1
229,1,0,11,1,0,1,1.1
2436,1,0,8,1,0,1,1.14285714285714
1710,1,0,4,0,0,1,1
2796,1,0,5,1,0,1,1.25
2613,1,173,26,3,136,1,1.1304347826087
975,1,52,14,3,43,1,1.27272727272727
268,1,0,17,4,0,1,1.30769230769231
500,1,14,8,1,14,1,1.14285714285714
1351,1,0,12,2,0,1,1.2
289,1,12,2,0,6,1,1
294,1,0,3,1,0,1,1.5
2523,1,20,4,0,20,1,1
342,1,14,4,0,0,1,1
345,1,0,2,0,0,1,1
348,1,6,2,0,6,1,1
673,1,207,58,9,96,1,1.18367346938776
2029,1,28,12,2,22,1,1.2
1445,1,75,15,1,37,1,1.07142857142857
401,1,0,6,0,0,1,1
404,1,0,10,2,0,1,1.25
2413,1,205,11,2,173,1,1.22222222222222
2079,1,0,6,1,0,1,1.2
1542,1,0,72,8,0,1,1.125
454,1,30,3,0,15,1,1
510,1,0,2,0,0,1,1
1855,1,24,13,1,14,1,1.08333333333333
1898,1,0,4,0,0,1,1
552,1,110,15,2,71,1,1.15384615384615
2275,1,0,8,3,0,1,1.6
591,1,0,4,0,0,1,1
1479,1,0,3,0,0,1,1
2534,1,0,6,0,0,1,1
618,1,0,6,0,0,1,1
797,1,11,17,4,5,1,1.30769230769231
