linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
1604,0,0,0,0,296,0,1,1
1603,0,0,0,0,296,0,1,1
943,0,0,0,0,296,0,1,1
941,0,0,0,0,296,0,1,1
6723,0,0,0,0,296,0,1,1
6724,0,0,0,0,296,0,1,1
3,431,343,4205,2720,14105,7084,5,10
3115,557,317,5118,3566,35337,13728,6,11
12275,557,317,5102,2733,24077,0,5,9
3117,1180,618,5602,3331,15652,7935,5,15
3141,123,123,3354,3354,466,0,2,2
7460,641,414,5125,3104,18173,1741,4,7
6594,73,73,3827,3827,1441,0,2,2
16,129,73,3236,1597,1276,0,2,3
15,129,73,2478,1272,1276,14,2,3
6593,129,73,5802,4238,1276,0,2,3
6590,108,108,2413,1823,1227,1041,2,3
10783,0,0,0,0,894,0,1,1
10785,0,0,0,0,894,0,1,1
8704,0,0,0,0,894,0,1,1
10787,0,0,0,0,894,0,1,1
4117,0,0,0,0,894,0,1,1
10789,0,0,0,0,894,0,1,1
7436,0,0,0,0,894,0,1,1
15133,0,0,1206,1206,1043,0,2,2
15132,0,0,2543,2543,1043,0,2,2
15136,0,0,179,179,1043,0,2,2
2066,252,84,3384,2713,1538,854,2,3
11412,237,237,2061,2061,1129,0,1,2
13151,237,237,1331,1331,1129,0,1,2
11051,237,237,3779,3779,1129,0,1,2
11050,237,237,851,851,1129,0,1,2
7709,463,252,3854,1973,5254,297,2,7
11052,463,225,5836,3523,2625,0,8,11
1695,575,304,3848,2413,2882,559,10,15
1697,463,275,5792,2530,2316,472,9,15
4310,139,139,2059,2059,307,0,2,2
11094,274,139,4818,3599,588,0,3,4
1706,0,0,0,0,235,0,1,1
2694,0,0,0,0,235,0,1,1
6592,111,64,4855,215,2511,423,3,3
6864,111,64,1895,1436,2425,369,2,3
6596,111,111,4421,4421,326,0,2,2
7751,111,111,2093,2093,326,0,2,2
7750,111,111,3317,3317,326,0,2,2
4008,0,0,0,0,220,0,1,1
11890,0,0,0,0,220,0,1,1
3834,0,0,0,0,220,0,1,1
3833,0,0,0,0,220,0,1,1
11891,0,0,0,0,220,0,1,1
4009,0,0,0,0,220,0,1,1
11892,0,0,0,0,220,0,1,1
11894,0,0,0,0,220,0,1,1
11896,0,0,0,0,220,0,1,1
3796,0,0,0,0,220,0,1,1
13764,0,0,0,0,220,0,1,1
13707,0,0,0,0,220,0,1,1
13708,0,0,0,0,220,0,1,1
7458,301,301,1790,1790,16569,3889,1,2
13171,0,0,0,0,220,0,1,1
8746,0,0,0,0,220,0,1,1
17952,0,0,0,0,220,0,1,1
17948,462,102,3722,3412,3235,0,4,5
674,766,297,5270,2683,6564,124,7,12
2016,593,268,4778,2260,4817,3296,7,11
664,841,312,6243,3083,5705,82,8,11
665,989,446,5671,2809,9108,1825,6,18
12721,593,268,5381,3130,1879,0,7,8
204,841,312,5724,3013,7365,28,13,16
206,659,322,5171,2763,2081,16,10,11
211,659,284,5645,4186,2335,6,8,8
3730,593,593,3452,3452,576,0,2,2
5980,593,593,2317,2317,576,0,2,2
10357,841,379,4830,2494,7665,0,9,14
8700,882,383,5374,3128,11349,321,12,18
12465,882,297,5112,2728,3115,0,8,9
8976,659,322,5415,3623,1283,0,4,4
8480,659,468,4337,3256,11039,1994,4,9
17472,639,364,2799,2634,14175,0,2,4
6772,445,445,650,650,1001,412,2,2
1489,0,0,0,0,236,0,1,1
10943,0,0,0,0,236,0,1,1
9280,0,0,0,0,236,0,1,1
9279,0,0,0,0,236,0,1,1
9278,0,0,0,0,236,0,1,1
1427,0,0,0,0,236,0,1,1
1426,0,0,0,0,236,0,1,1
9277,0,0,0,0,236,0,1,1
1425,0,0,0,0,236,0,1,1
1424,0,0,0,0,236,0,1,1
9276,0,0,0,0,236,0,1,1
10006,0,0,0,0,236,0,1,1
13023,249,151,1034,590,1311,0,2,3
4150,457,207,4246,2578,2399,522,4,7
8643,301,140,4809,2778,745,0,4,5
9266,252,252,1252,1252,263,0,2,2
340,252,252,1306,1306,263,0,2,2
341,252,252,1607,1607,263,0,2,2
1423,252,252,2504,2504,263,0,2,2
9265,252,252,2432,2432,263,0,2,2
8642,585,295,4015,2485,10210,1983,2,5
8641,716,442,4562,2603,10559,0,3,8
8640,716,442,4816,3035,9922,0,5,8
8637,827,481,4348,2411,11484,1,5,11
10914,322,240,4318,3408,10837,0,3,6
6344,572,382,5114,3485,13961,6007,3,6
3557,1483,922,4816,2820,13472,4116,3,9
1422,1483,1342,4505,2263,19528,61,1,7
6372,496,383,4823,3555,13162,0,1,5
6371,496,383,5434,3603,13553,0,3,7
6370,496,383,4969,3240,13553,2669,3,7
6369,607,322,3005,2151,4247,1617,2,4
1401,252,252,4152,4152,385,0,2,2
12318,496,383,5035,3693,6728,0,5,9
3170,906,496,5352,2790,10266,2343,6,13
3551,673,328,5525,2674,11458,2820,3,10
5977,673,495,4374,2988,7795,670,4,9
16090,273,191,2996,2021,651,0,3,3
10926,273,191,3831,3220,651,0,3,3
10888,0,0,0,0,236,0,1,1
1405,252,252,2548,2548,151,0,2,2
10925,470,273,5877,3113,1268,0,4,5
1420,470,273,5120,4107,1332,731,4,6
17731,252,139,4448,1790,553,0,3,4
17732,252,139,3226,2694,553,0,3,4
6846,252,139,5029,2978,553,0,3,4
6844,397,252,4402,3131,1559,210,4,6
4553,397,241,4898,3283,7912,2184,2,6
7167,341,241,3973,3415,7848,0,2,4
1446,479,271,4918,1672,4211,0,4,8
1445,479,259,4062,3763,4624,699,5,7
1442,680,536,4712,2853,2304,0,7,9
1441,509,209,4040,2200,1945,11,4,6
343,550,414,3387,3292,329,26,3,3
3728,550,170,4618,2696,486,240,3,4
3725,457,414,2740,1791,480,0,2,3
3724,664,226,5522,3859,1480,556,4,7
12717,664,226,3892,2871,1534,0,4,7
10892,664,226,5427,3996,1534,0,4,7
1414,664,226,4110,2692,1300,441,3,7
7160,846,361,5046,3200,3307,125,7,10
7162,692,253,1995,859,622,0,3,4
4544,341,241,4017,1498,7969,0,2,4
4543,341,241,3192,1968,7969,0,2,4
4542,506,313,4483,1711,9375,0,3,8
4545,789,506,5795,3348,9990,258,4,9
1076,568,241,5319,2602,31877,2647,3,8
10589,568,241,5854,2954,31877,0,3,8
10573,568,241,5321,2822,31877,0,3,8
4547,568,241,4718,2896,32990,17310,3,10
7976,470,173,4465,3444,23853,10331,3,6
361,231,106,2814,2023,4342,4,3,7
360,231,106,3937,2431,4287,0,3,6
359,231,149,4951,2760,4081,612,4,7
11586,231,149,5324,4172,4026,0,4,8
358,231,156,4680,2763,8845,3513,5,9
7474,284,194,5070,2835,14409,9817,6,9
421,155,79,1725,1032,14605,0,2,3
9187,176,75,4061,3401,7765,0,3,4
11073,101,80,2917,759,23374,0,2,3
7685,101,80,3781,2777,54629,11398,3,3
5556,148,101,3632,1632,54748,4429,3,4
7525,186,101,5251,3387,84584,53455,4,5
9730,363,254,4961,822,1234,0,2,3
8952,327,327,2774,2774,298,0,1,2
15430,327,327,2600,2600,298,0,1,2
5339,339,327,1476,817,289,0,2,3
17516,363,254,4707,3480,1234,0,2,3
5928,363,254,6213,5044,1234,0,2,3
15630,80,80,2509,2509,7258,0,2,2
5661,87,17,4763,4523,7399,48,3,3
524,94,83,5740,1790,1310,890,2,3
16332,94,83,3235,1162,1128,0,2,3
15073,94,83,3323,1016,1128,0,2,3
5342,94,94,1563,1563,130,0,2,2
15075,94,83,4877,4867,1128,0,2,3
2405,94,94,3651,3651,130,0,2,2
11587,155,79,5083,4463,7273,0,2,3
6613,155,79,6207,874,7273,12,2,3
1995,0,0,0,0,186,0,1,1
1994,0,0,0,0,186,0,1,1
11745,803,183,4790,2918,10055,0,5,8
16245,952,352,4869,2710,10724,0,4,9
7407,952,217,5869,3870,10932,319,5,9
7405,836,284,5756,3935,9890,0,6,9
616,836,134,5137,3775,10680,297,6,11
615,237,212,4406,2885,2744,1672,4,7
