linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
51,1038,563,3043,1898,20359,1920,5,10
4625,1038,720,3988,2314,17960,0,5,12
50,1038,720,3233,1971,17960,0,5,12
49,1054,720,3277,2228,21198,0,5,12
5257,640,475,3665,2812,9864,0,4,6
1402,717,475,3926,2415,6848,377,5,7
1403,790,618,4153,2906,4001,1778,4,8
2682,0,0,0,0,64,0,1,1
3127,0,0,0,0,64,0,1,1
3126,0,0,0,0,64,0,1,1
2707,0,0,0,0,64,0,1,1
2706,0,0,0,0,64,0,1,1
2676,0,0,0,0,64,0,1,1
2618,0,0,0,0,102,0,1,1
93,0,0,0,0,102,0,1,1
1400,68,68,2593,2593,420,0,2,2
1682,68,68,1191,1191,420,0,2,2
79,68,68,2612,1741,3409,177,2,3
78,125,57,3107,2172,2660,1453,3,4
77,2585,862,4031,3087,76294,647,10,15
76,972,487,3190,1948,15954,0,9,12
75,503,307,3501,1814,142,0,6,7
1396,503,307,3300,2073,142,0,6,7
74,246,246,1514,1514,71,0,2,2
1847,246,246,1082,1082,71,0,2,2
1397,356,74,3124,2573,1092,190,3,3
1398,734,236,2558,1772,2792,368,5,9
82,1075,553,3413,2138,6117,1133,6,12
81,579,241,2145,2048,3227,1172,4,6
2521,656,415,3252,2109,2608,455,6,8
987,799,467,2553,1639,3554,0,7,10
986,1014,799,3184,1899,6111,871,11,19
985,711,502,3337,2876,2080,27,5,6
2805,437,233,3472,2583,2518,118,7,9
2804,395,198,2705,1896,1359,444,5,6
2520,367,234,4093,2503,2711,1268,7,10
4117,609,234,3945,2597,4030,0,11,14
868,915,455,3112,1984,7334,0,14,21
867,915,455,1658,1009,7918,1498,14,22
3280,527,492,2888,1517,6106,0,6,10
873,511,395,2702,2029,6156,0,5,8
1600,602,329,3182,2077,12341,5827,5,10
2561,663,388,2587,2041,12417,4022,5,13
2559,609,609,1302,1302,381,0,2,2
1630,0,0,0,0,308,0,1,1
4861,979,708,3631,2418,14573,0,5,17
1248,979,612,3734,2808,14247,0,5,16
1247,979,515,3143,2157,13741,20,3,9
1246,708,415,3368,2311,14942,4326,3,11
3050,658,398,3039,2152,13815,0,2,13
1233,953,419,3674,2846,6150,503,6,9
1232,515,468,3132,1990,4394,0,2,3
1231,515,468,3855,2710,4394,0,2,3
1230,515,468,3357,3148,4394,0,2,3
1127,988,869,3623,2437,8321,2488,5,11
2778,715,206,3062,3041,4422,0,2,4
2777,785,375,3228,2243,5491,1232,4,6
352,1196,597,3264,2292,12885,3889,4,9
4841,1196,597,3121,1973,8894,0,6,10
380,1196,501,4100,2402,6998,1962,6,9
2775,785,375,3050,1784,4024,645,3,6
2776,768,253,3008,1984,5491,1143,4,5
2569,612,515,3854,2600,9329,1964,2,8
2568,609,436,2688,2464,717,202,4,5
2588,609,436,2626,1186,422,0,4,4
