linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
51,1038,563,3606,2157,20359,1920,5,10
4625,1038,720,3124,2150,17960,0,5,12
50,1038,720,3271,1800,17960,0,5,12
49,1054,720,2493,1600,21198,0,5,12
5257,640,475,2789,2060,9864,0,4,6
1402,717,475,2601,1120,6848,377,5,7
1403,790,618,2530,2010,4001,1778,4,8
2682,0,0,0,0,64,0,1,1
3127,0,0,0,0,64,0,1,1
3126,0,0,0,0,64,0,1,1
2707,0,0,0,0,64,0,1,1
2706,0,0,0,0,64,0,1,1
2676,0,0,0,0,64,0,1,1
2618,0,0,0,0,102,0,1,1
93,0,0,0,0,102,0,1,1
1400,68,68,2389,2389,420,0,2,2
1682,68,68,1229,1229,420,0,2,2
79,68,68,2297,2219,3409,177,2,3
78,125,57,2639,2064,2660,1453,3,4
77,1535,862,3546,2883,22844,647,10,15
76,972,487,3405,2139,15954,0,9,12
75,503,307,3382,2108,142,0,6,7
1396,503,307,3076,1780,142,0,6,7
74,246,246,3241,3241,71,0,2,2
1847,246,246,3008,3008,71,0,2,2
1397,356,74,2415,2170,1092,190,3,3
1398,734,236,3247,1930,2792,368,5,9
82,1075,553,3351,2045,6117,1133,6,12
81,579,241,2160,1474,3227,1172,4,6
2521,656,415,3469,2129,2608,455,6,8
987,799,467,2267,1730,3554,0,7,10
986,1014,799,3703,1893,6111,871,11,19
985,711,502,3059,1678,2080,27,5,6
2805,437,233,2336,1562,2518,118,7,9
2804,395,198,1982,1407,1359,444,5,6
2520,367,234,2800,2078,2711,1268,7,10
4117,609,234,3094,1951,4030,0,11,14
868,915,455,2600,1695,7334,0,14,21
867,915,455,1131,644,7918,1498,14,22
3280,527,492,3695,1867,6106,0,6,10
873,511,395,3607,1651,6156,0,5,8
1600,602,329,3492,2706,12341,5827,5,10
2561,663,388,2568,1721,12417,4022,5,13
2559,609,609,1016,1016,381,0,2,2
1630,0,0,0,0,308,0,1,1
4861,979,708,3311,1778,14573,0,5,17
1248,979,612,3252,2056,14247,0,5,16
1247,979,515,1807,1261,13741,20,3,9
1246,708,415,3622,2776,14942,4326,3,11
3050,658,398,2832,2181,13815,0,2,13
1233,953,419,3518,1775,6150,503,6,9
1232,515,468,2855,2260,4394,0,2,3
1231,515,468,1600,893,4394,0,2,3
1230,515,468,1385,666,4394,0,2,3
1127,988,869,2664,1680,8321,2488,5,11
2778,715,206,2807,1353,4422,0,2,4
2777,785,375,2830,1795,5491,1232,4,6
352,1196,597,2548,1760,12885,3889,4,9
4841,1196,597,3149,2082,8894,0,6,10
380,1196,501,2880,2074,6998,1962,6,9
2775,785,375,2636,2029,4024,645,3,6
2776,768,253,2739,1988,5491,1143,4,5
2569,612,515,3590,1980,9329,1964,2,8
2568,609,436,1925,910,717,202,4,5
2588,609,436,2872,849,422,0,4,4
4898,697,484,2103,1629,8790,0,12,20
4897,697,484,3519,2043,8693,0,12,21
4896,697,484,2777,2256,8693,0,12,21
200,673,515,2261,1537,6757,0,14,20
199,981,609,2186,1353,7272,0,18,25
1014,579,456,3133,1839,785,0,3,4
3367,579,297,2022,1279,2981,0,3,6
988,579,297,3166,2361,3483,842,4,7
84,734,409,3692,1772,5536,0,6,9
1082,734,255,3304,1802,6815,355,7,10
1631,0,0,0,0,308,0,1,1
98,579,253,3029,1693,8169,4764,4,8
91,579,241,3380,1461,630,0,3,4
97,579,313,3479,2534,8297,1346,5,8
4487,1333,691,2983,1755,8807,0,9,17
3424,1333,691,3464,2125,7818,0,8,14
2551,1333,691,3205,2636,6759,352,9,16
150,586,321,2234,1499,4464,1227,7,10
4733,174,116,1479,376,1519,0,3,3
4579,174,116,1841,520,1519,0,3,3
5396,174,116,2449,1568,1519,0,3,3
3119,174,116,2473,1486,1519,0,3,3
171,873,615,2909,1476,18337,3679,2,8
170,692,448,3524,1912,24828,4360,3,5
156,451,234,2331,1573,16089,0,3,8
155,835,460,2577,1879,16678,2840,4,10
1287,835,505,2442,1884,2693,490,5,6
2295,835,396,4382,3040,6640,0,2,6
1928,0,0,0,0,74,0,1,1
2956,0,0,0,0,74,0,1,1
2978,890,350,2839,1691,2559,344,6,8
1305,803,129,3229,1410,492,0,3,4
1785,1153,986,3007,1718,4205,0,6,11
4789,1273,818,2364,1215,4386,0,6,9
4788,835,204,4130,2058,1716,0,4,6
2293,835,296,3123,1546,6375,0,2,7
2823,835,357,2984,2155,16175,5900,4,9
1905,329,146,3408,1333,4979,2133,2,6
1404,265,172,2150,2057,7471,1355,4,8
1405,265,172,2672,1714,8172,1166,4,8
1890,680,350,2088,1629,7630,604,12,20
1909,340,283,2995,2334,3067,594,2,5
3358,169,142,1260,1255,2390,0,1,3
3357,348,214,3564,2002,2821,0,3,8
3356,348,169,3120,1794,588,0,4,6
952,169,169,1062,1062,79,0,2,2
4726,657,450,3729,1919,8803,0,5,10
398,885,450,3060,1638,10987,4112,8,16
2306,385,282,2519,1505,7494,1388,1,4
360,786,542,3491,2243,7520,0,9,15
359,786,542,3485,2168,6708,0,9,15
2305,713,350,3678,2051,6710,3626,2,6
1406,885,473,3311,2398,7708,486,9,13
1518,542,283,1934,932,1291,0,3,4
1906,169,169,2310,2310,79,0,2,2
4725,852,381,3333,2191,8631,0,5,16
179,852,393,3369,2198,7900,3331,5,17
178,701,504,2147,1341,5862,0,4,11
175,1087,674,2861,1583,7706,1,7,18
559,779,643,2715,1881,22058,6782,3,10
186,988,384,2706,1695,22461,6094,4,10
185,988,384,3372,1771,22906,10733,4,11
1137,988,384,2073,1541,1601,0,2,5
1138,988,384,2856,1417,1601,0,2,5
2465,795,587,2834,1769,8691,1175,9,14
2614,888,469,3530,2049,8205,4,9,15
2613,654,303,3218,1975,4598,1504,3,7
2494,826,398,3779,1980,6376,0,7,11
2493,826,349,2693,1755,6662,25,7,12
4783,110,110,2229,2229,1438,0,2,2
4782,394,182,2339,1725,3321,0,6,8
4781,394,182,2754,1997,3321,0,6,8
4780,183,135,3581,2056,2766,0,5,7
2059,453,222,3504,2810,11299,8276,2,6
793,286,178,2031,1342,4681,0,3,3
792,504,178,2517,1644,5649,0,3,8
2612,552,207,2385,1520,3130,895,5,10
2407,0,0,0,0,247,0,1,1
4021,286,86,3616,1920,1541,0,4,5
3293,286,86,3294,2202,1541,0,4,5
1667,204,60,2739,436,1473,0,4,4
1666,204,110,2997,2299,2416,362,3,5
4802,654,301,3004,1905,4823,0,4,9
4801,654,286,3016,2376,6938,0,5,11
258,654,294,3637,2795,4343,0,4,7
2481,918,709,4131,2688,7773,2626,7,14
2611,534,291,3070,2394,7169,1402,3,8
3015,722,526,3038,1929,6479,0,6,12
1496,722,403,2852,1930,5164,1478,5,10
3016,534,286,2301,1247,6010,0,3,6
462,0,0,0,0,173,0,1,1
673,1148,504,2529,1382,10978,4676,4,7
672,434,175,1782,1006,7574,849,3,5
4534,791,388,3125,2339,6799,0,5,9
4545,434,175,3455,2110,4725,0,4,5
671,1148,572,2864,1935,8353,2007,7,12
4544,1077,513,3416,2169,8195,0,7,12
4543,1582,791,3229,2062,9762,0,11,16
3115,1582,791,3792,2362,6770,0,8,14
3114,1328,649,2907,1617,2196,0,5,8
1860,899,476,1633,549,3462,1341,2,5
1104,899,464,2344,1386,3527,0,2,4
1103,1093,916,2460,1110,621,0,2,3
409,933,646,1188,847,10500,0,1,6
4873,1093,768,3261,2204,10260,0,2,7
558,908,851,2863,2001,2197,313,2,3
557,1506,441,3985,2460,4459,0,7,10
4793,908,359,2345,1679,971,0,5,5
4792,908,432,2766,2577,395,0,3,3
1174,0,0,0,0,207,0,1,1
2489,1506,603,2630,2076,11069,6695,2,9
4777,1506,474,2286,1597,13634,0,1,7
2488,1506,635,3652,1691,11562,3282,2,9
4540,0,0,0,0,207,0,1,1
4539,933,933,1228,1228,442,0,2,2
4538,933,933,847,847,442,0,2,2
2415,933,933,499,499,442,0,2,2
2393,933,142,3783,2249,10165,4328,1,4
3364,1093,768,3673,2331,10376,0,2,6
1087,1093,608,3029,2063,10572,5813,2,8
3362,1093,608,3873,2566,2601,0,6,8
1170,1093,598,1995,1317,4168,2312,6,9
1169,1132,608,1754,1508,5130,277,5,7
3291,1163,612,3101,1925,2361,0,8,10
4421,1163,612,2745,1272,2361,0,8,10
2657,1507,631,3576,2326,2816,544,3,8
1382,1263,1263,1512,1512,339,0,1,2
1381,1263,1263,1355,1355,339,0,1,2
1377,1497,1210,2740,2278,1680,519,5,8
1376,1497,1010,3064,1943,2195,483,1,5
2655,1417,436,3035,1745,3002,469,7,10
351,1417,1210,2966,1766,2209,361,6,9
2763,1421,1210,2998,2255,1355,61,4,6
2762,1506,413,2646,1799,1059,215,4,5
2656,1263,1010,3133,1885,3414,1235,2,5
3363,1093,608,3730,1659,917,0,4,6
1086,1093,462,2506,1771,3368,1147,4,6
1617,1093,608,2794,1789,446,0,3,4
4819,1093,642,3297,1216,4022,0,2,4
660,1093,398,2937,2087,5743,1701,3,8
4711,1303,721,2652,1507,10085,0,10,13
4546,1148,615,3362,2086,6985,0,10,15
2332,1148,614,3007,2013,5059,780,8,16
725,284,179,2267,1456,580,0,3,5
724,179,179,2854,2854,1127,0,2,2
4624,1582,817,2769,1680,9172,0,9,15
2191,1582,817,3344,2064,9172,0,9,15
4816,1207,515,3399,1315,7486,0,8,12
2411,1207,608,2711,1845,4429,0,4,6
1445,271,139,3112,1432,1385,792,2,5
384,509,208,2498,1587,3685,0,8,13
1446,509,208,3760,2022,4703,232,11,19
3136,321,145,3801,2884,4196,0,10,19
1447,321,159,2954,2138,3532,1301,10,17
387,578,214,2832,1837,4104,1644,6,11
3137,216,104,2072,1203,2490,0,6,9
386,286,117,2485,1578,2805,0,7,12
385,186,55,2666,1448,358,0,3,3
382,373,175,2794,2196,773,57,4,6
3135,186,186,3327,3327,215,0,2,2
2552,321,155,1716,930,1153,162,3,5
5409,321,181,3186,1883,3268,0,9,13
4133,473,256,2973,1791,4508,0,12,16
2671,609,405,3881,1947,5536,1188,13,19
2413,215,162,2111,1692,658,0,3,3
1272,1303,566,3576,2994,10068,2515,10,16
2189,1303,577,2747,1818,8955,418,11,18
2188,1303,565,3121,2144,10565,1964,9,16
2187,1303,516,2888,1884,8186,0,10,15
2186,803,396,2942,1161,7114,1592,11,19
2185,774,381,4265,2174,3682,105,14,16
2482,1303,577,3202,1861,8732,1298,7,14
4837,1106,416,3258,2026,10803,0,10,14
412,1303,572,3405,2366,14634,7552,9,17
2444,215,215,2131,2131,894,0,2,2
552,678,475,2256,1659,17044,1771,4,7
2368,149,149,2844,2844,1865,0,2,2
4878,1073,846,2534,1820,26748,0,5,11
4877,1137,846,3087,1943,22172,0,11,21
2967,1137,788,2218,1155,29171,3006,10,20
2966,1137,788,3144,2222,13080,730,11,16
4876,1227,874,3254,1820,25084,0,10,18
766,1299,880,1751,1241,25536,2213,15,24
1257,0,0,0,0,135,0,1,1
1256,0,0,0,0,135,0,1,1
1179,0,0,0,0,135,0,1,1
1177,0,0,0,0,135,0,1,1
1176,0,0,0,0,135,0,1,1
1178,0,0,0,0,135,0,1,1
1646,0,0,0,0,135,0,1,1
2835,0,0,0,0,123,0,1,1
1720,0,0,0,0,123,0,1,1
2834,0,0,0,0,123,0,1,1
2831,283,196,2450,2195,1979,934,1,3
1524,466,292,3108,2066,3547,835,7,10
1525,447,264,3829,2724,4069,391,8,11
1933,302,283,2966,2375,4252,0,2,5
124,810,556,2793,1791,10442,902,8,13
123,810,385,2608,1650,6564,1938,6,11
2711,0,0,0,0,123,0,1,1
2710,0,0,0,0,123,0,1,1
1932,503,283,2739,2152,6496,0,3,10
896,655,292,2548,1381,8402,4597,4,11
895,390,256,3161,2018,4160,1097,4,8
570,303,226,2199,1271,1004,0,4,6
885,302,283,1915,1857,4696,1755,1,4
2383,0,0,0,0,123,0,1,1
2384,0,0,0,0,123,0,1,1
1654,0,0,0,0,123,0,1,1
1653,570,570,1246,1246,542,0,1,2
1778,0,0,0,0,523,0,1,1
1040,62,62,1427,1427,2292,0,2,2
1039,62,62,1136,1136,2292,0,2,2
1046,170,62,2851,2017,5546,335,3,3
1045,434,254,4327,1837,16283,7453,3,6
1044,434,265,2751,2223,18170,9481,4,7
1279,470,237,3290,1917,2226,148,4,5
3972,561,311,3189,2237,4333,0,5,9
1167,458,285,3425,1757,4867,2032,13,17
1704,858,415,3218,1824,3485,505,9,12
1705,609,413,2846,1205,7788,1854,2,10
100,918,517,3327,2342,9308,3108,3,13
1020,853,375,2832,1874,3695,718,7,10
1015,602,375,3247,1774,2685,370,5,7
4573,791,432,3107,2153,8164,0,4,13
1618,647,454,3228,2259,8284,3957,3,13
1009,840,356,3283,1939,5640,175,8,11
499,648,470,3199,1678,6207,57,9,13
1108,1273,758,2635,1682,4326,398,6,11
4574,718,420,2429,1746,3003,0,5,8
2757,368,86,3769,1256,1175,392,2,3
2756,413,198,2995,1340,3878,463,5,6
1416,0,0,0,0,614,249,1,1
222,67,67,2287,2287,828,167,2,2
5335,67,67,1344,1344,828,0,2,2
213,96,33,2795,1931,2114,45,3,3
1553,0,0,0,0,444,0,1,1
1552,113,113,2300,2300,761,447,2,2
975,191,54,1681,1047,580,0,3,3
263,54,54,988,988,265,0,2,2
260,614,467,3314,1664,2371,61,6,10
726,504,274,3331,2847,2611,522,7,10
773,345,203,3259,1309,1473,0,5,6
772,345,203,3498,1659,1473,0,5,6
771,345,203,2211,1473,1473,0,5,6
770,345,203,2870,1736,1473,8,5,6
1423,54,54,2641,2641,265,0,2,2
2196,345,191,1825,1366,1185,0,5,8
2195,284,179,3424,1890,226,0,5,6
1543,284,179,2525,1765,226,0,5,6
2194,453,279,3262,1261,11134,3008,2,5
3055,264,179,2957,1660,1170,0,5,6
2054,504,362,3779,2802,9523,2824,4,8
383,286,117,3459,2046,2479,1,8,12
930,238,117,2400,1939,3214,486,5,10
126,390,256,2502,1456,2984,1235,2,6
125,79,78,2471,1603,2282,880,2,3
1522,779,556,3060,1727,7199,624,9,13
797,659,235,3961,2771,9268,1792,4,8
791,75,75,1289,1289,235,0,2,2
628,732,436,3422,1216,5393,0,4,7
627,732,243,4507,2408,5650,45,6,9
1987,1187,648,3019,2013,8024,1289,6,12
1986,836,581,1948,956,4312,0,4,6
1985,732,581,3208,1881,971,0,4,5
1984,974,648,3127,1865,1408,0,6,8
2302,1168,535,3002,1978,3037,0,5,9
4020,1323,573,3445,2547,533,0,6,6
4019,1323,573,3709,1701,533,0,6,6
1983,1323,573,3839,2025,945,232,6,7
4834,368,325,2777,1474,1418,0,3,5
3266,368,325,3085,1175,4785,0,2,6
723,368,325,2714,2082,4931,862,2,7
798,289,235,3091,2370,1382,472,3,4
1779,75,75,2083,2083,76,0,2,2
1980,711,292,2445,1409,586,31,3,4
1979,85,85,87,87,5879,2310,1,2
1978,85,85,2124,2124,5879,1949,1,2
4883,416,85,3945,3618,4892,0,1,3
4882,828,421,3358,2288,9751,0,3,7
1271,828,421,2546,1744,9751,3631,3,7
916,828,400,1230,762,337,0,3,4
1270,828,421,2853,1227,7846,1639,3,7
1916,370,248,4444,3624,7277,5580,2,4
1915,673,316,3573,2401,35725,3291,3,6
2389,0,0,0,0,89,0,1,1
1651,266,58,2173,1295,600,0,3,3
1914,266,184,2202,1892,28444,0,2,5
1913,731,667,3059,2093,39215,1,3,9
58,688,481,3090,1886,19457,3268,6,10
2170,549,353,2667,1960,27847,17,2,9
2388,0,0,0,0,89,0,1,1
2385,266,266,1419,1419,130,0,2,2
2860,370,248,3726,2845,14231,4106,3,5
1907,0,0,0,0,79,0,1,1
167,852,417,3790,2182,7809,996,8,16
151,654,506,3693,1548,6933,3158,7,14
1414,1196,557,3239,1995,9140,2689,10,17
2125,1535,1119,3563,2064,30667,2511,11,15
2124,1078,275,2778,1620,6753,0,5,8
5315,307,125,3421,954,433,0,3,3
271,972,482,2619,1512,14563,0,7,9
1807,972,466,2741,1498,13640,551,8,12
1930,550,274,2731,1663,9602,4300,4,9
5042,653,427,3375,2855,10464,0,6,12
2029,1262,891,3371,2021,12785,2753,10,18
3268,405,272,3544,2099,4261,0,4,7
1,1047,752,3185,1955,8164,893,11,18
2341,979,746,2951,2019,9014,1617,10,21
769,268,85,1763,615,1149,0,3,3
768,268,85,1658,1647,1149,0,3,3
1819,196,196,1869,1869,957,0,2,2
1818,997,572,3363,2172,6173,0,10,13
381,233,141,3041,1197,706,0,4,4
1835,795,517,3572,2264,11108,0,10,15
2304,461,243,1965,1446,1440,0,2,4
2303,461,243,2612,1509,1440,0,2,4
1982,917,309,1751,1399,1717,0,3,5
1981,917,309,2791,2533,2566,0,4,7
4018,819,563,3089,1753,971,0,4,5
658,417,83,1617,1272,667,0,2,3
657,985,714,2658,2237,2777,809,3,7
656,819,563,3767,1622,304,0,3,4
2345,0,0,0,0,89,0,1,1
2344,0,0,0,0,89,0,1,1
1800,1733,561,3384,2107,3588,256,10,18
2610,200,81,1840,959,167,0,2,3
1035,233,127,2923,1910,301,0,3,4
2872,775,510,3028,2063,1133,0,4,6
1032,791,510,3163,1604,991,359,6,8
1031,206,146,3154,2669,502,328,4,4
1033,233,127,2052,960,301,0,3,4
4106,81,81,3560,3560,241,0,2,2
4491,346,87,1619,1297,544,0,4,4
4636,578,345,4034,2352,1717,0,8,10
2283,493,276,2870,1724,3841,316,2,9
4933,741,501,2939,1603,4192,0,3,11
4492,741,501,2845,1783,4192,0,3,11
2650,271,82,1229,598,3102,0,1,4
4635,271,82,3108,1253,3011,0,1,4
861,656,480,2676,1833,3675,2792,4,10
2609,200,81,2081,1346,167,0,2,3
1036,151,111,2605,1068,324,0,2,3
1723,366,195,2323,1509,854,0,3,5
1722,312,206,2197,1546,538,219,3,4
2608,81,81,1727,1727,176,0,2,2
1043,743,474,3900,2124,11991,746,4,10
1049,434,265,2609,2015,9386,0,3,7
4824,877,653,2955,2056,9303,0,8,17
4823,877,446,2661,1937,7806,0,4,12
4822,540,351,2336,1762,3991,0,3,7
1098,1189,768,2800,1996,4843,0,5,11
1165,0,0,0,0,3196,1633,1,1
1164,766,599,3158,2711,19243,8952,6,9
1163,972,478,3753,1940,11223,2585,7,10
1162,975,755,3174,2296,21389,5700,12,17
4894,942,526,2974,1485,3641,0,4,10
781,1031,566,2790,2047,4374,0,5,12
375,1031,717,3834,2510,7312,4787,3,7
780,942,526,3040,1654,5791,0,5,10
2057,222,120,2062,431,9807,0,1,3
2056,222,120,3497,2066,9807,0,1,3
2055,175,81,1814,1195,8373,0,3,4
2386,0,0,0,0,130,0,1,1
1652,0,0,0,0,130,0,1,1
2123,1078,418,3507,2564,4383,825,5,8
2985,889,478,2841,2182,6650,0,7,12
2589,1411,1041,3064,2128,5152,1088,7,11
4026,850,479,2801,1638,2382,0,8,9
4025,850,524,2589,2064,1940,0,7,8
2060,1080,608,2816,1519,3056,0,9,11
3018,534,286,2544,1818,5837,0,3,6
764,611,534,3940,1920,5982,893,4,9
2480,792,551,2675,1516,4004,419,8,10
70,1440,926,3881,2086,9237,2521,12,19
1644,0,0,0,0,68,0,1,1
4014,221,221,1505,1505,348,0,2,2
4013,221,221,1869,1869,348,0,2,2
1645,221,221,2396,2396,348,0,2,2
1266,0,0,0,0,68,0,1,1
4012,0,0,0,0,68,0,1,1
1251,112,112,1274,1274,517,260,2,2
2635,460,240,2766,2186,1428,106,6,7
4011,0,0,0,0,68,0,1,1
2730,1249,777,3004,1730,4380,187,5,10
1289,1249,604,2817,1610,2495,669,6,8
2172,651,319,2423,1442,10049,9225,1,6
2171,525,273,3375,2555,9755,0,1,5
205,0,0,0,0,456,0,1,1
204,0,0,0,0,456,0,1,1
203,0,0,0,0,456,0,1,1
372,237,237,2938,2938,2252,0,2,2
371,714,360,3181,1729,7276,0,8,13
370,1427,395,3000,2010,13071,4093,9,15
2483,1499,454,2929,1785,7341,0,9,13
1612,572,467,3011,1387,849,0,4,4
4549,453,284,2447,801,5765,0,2,3
3039,453,284,2475,771,5765,0,2,3
2791,1080,524,2786,1887,7585,976,9,18
2795,614,497,3273,2137,4753,3904,4,15
4022,362,284,1793,1035,1552,0,2,3
1802,1134,608,3357,1720,5660,0,6,12
405,713,290,3621,1700,7230,1,3,10
404,829,443,3195,1924,4830,2965,3,11
88,868,572,2292,1455,6557,0,12,20
877,741,410,3245,1786,6217,0,11,16
876,1323,1035,2104,1433,8058,0,13,20
2038,1211,749,3480,2080,22712,0,6,12
1258,972,693,2589,1715,13373,4151,6,11
836,828,466,2807,1988,4410,0,5,6
2210,416,190,1931,1198,2169,161,4,4
1784,1153,752,2837,2004,5304,1,10,18
815,917,555,3094,2096,7458,740,10,17
71,238,111,2953,1244,2482,329,1,4
934,0,0,0,0,599,0,1,1
931,307,117,3144,1839,4668,779,6,11
929,169,117,2551,1317,3042,0,4,7
928,169,117,2748,2009,3042,0,4,7
927,271,117,1744,1512,1160,0,3,4
924,321,155,3135,1873,3212,135,7,10
1605,271,271,2492,2492,889,143,1,2
926,271,271,1615,1615,889,0,1,2
5274,271,271,1131,1131,889,0,1,2
5275,271,271,544,544,889,0,1,2
1606,271,110,1972,1306,1413,702,2,3
1677,307,163,3567,1475,4073,144,7,11
3134,307,163,4025,1986,3396,0,7,10
2717,176,176,1215,1215,252,101,2,2
1205,176,176,3157,3157,172,0,2,2
1633,80,80,1180,1180,310,0,2,2
