"_id",trunkId,loadedFor,startIteration,wtCost,generation,endIteration,key,isLeaf,totalBranches,time,maxCost,costProb,maxTime,timeProb
6089297724ac2d65e8da69c5,51,2,1,64,0,1,51-1,true,0,1,64,1,1,1
6089297724ac2d65e8da69c6,1397,2,1,308,0,1,1397-1,false,0,1,308,1,1,1
6089297724ac2d65e8da69c7,1905,2,1,98,0,1,1905-1,true,0,1,98,1,1,1
6089297724ac2d65e8da69c8,2835,2,1,123,0,1,2835-1,false,0,1,123,1,1,1
6089297724ac2d65e8da69c9,1279,2,1,97,0,1,1279-1,true,0,1,97,1,1,1
6089297724ac2d65e8da69ca,1704,2,1,93,0,1,1704-1,true,0,1,93,1,1,1
6089297724ac2d65e8da69cb,150,2,1,74,0,2,150-1,true,0,2,74,1,2,1
6089297724ac2d65e8da69cc,2413,2,1,236,0,2,2413-1,false,0,2,236,1,2,1
6089297724ac2d65e8da69cd,552,2,1,135,0,2,552-1,true,0,2,135,1,2,1
6089297724ac2d65e8da69ce,895,3,2,102,1,2,895-2,true,0,1,123,0.5466666666666666,1,0.5
6089297724ac2d65e8da69cf,639,3,2,90,0,2,639-2,true,0,1,90,1,1,1
6089297724ac2d65e8da69d0,2958,2,1,100,0,2,2958-1,false,0,2,100,1,2,1
6089297724ac2d65e8da69d1,1916,3,2,89,0,2,1916-2,true,0,1,89,1,1,1
6089297724ac2d65e8da69d2,2125,3,2,84,0,2,2125-2,true,0,1,84,1,1,1
6089297724ac2d65e8da69d3,1930,2,2,103,0,2,1930-2,true,0,1,103,1,1,1
6089297724ac2d65e8da69d4,2618,2,1,102,0,3,2618-1,true,0,3,102,1,3,1
6089297724ac2d65e8da69d5,797,3,2,94,0,3,797-2,false,0,2,94,1,2,1
6089297724ac2d65e8da69d6,1403,4,3,136,0,3,1403-3,true,0,1,136,1,1,1
6089297724ac2d65e8da69d7,2059,4,3,120,1,3,2059-3,true,0,1,120,0.625,3,0.75
6089297724ac2d65e8da69d8,2386,4,3,130,0,3,2386-3,true,0,1,130,1,1,1
6089297724ac2d65e8da69d9,2125,5,4,71,0,4,2125-4,true,0,1,71,1,1,1
6089297724ac2d65e8da69da,82,3,2,80,1,4,82-2,true,0,3,308,0.7938144329896907,3,0.75
6089297724ac2d65e8da69db,2613,2,1,247,0,4,2613-1,false,0,4,247,1,4,1
6089297724ac2d65e8da69dc,1198,3,2,78,0,4,1198-2,false,0,3,78,1,3,1
6089297724ac2d65e8da69dd,791,5,4,76,1,4,791-4,true,0,1,94,0.5529411764705883,2,0.6666666666666666
6089297724ac2d65e8da69de,2305,4,3,89,0,4,2305-3,true,0,2,89,1,2,1
6089297724ac2d65e8da69df,1644,5,4,68,0,4,1644-4,true,0,1,68,1,1,1
6089297724ac2d65e8da69e0,1445,2,1,60,0,4,1445-1,true,0,4,60,1,4,1
6089297724ac2d65e8da69e1,1955,2,2,72,0,4,1955-2,true,0,3,72,1,3,1
6089297724ac2d65e8da69e2,1108,2,2,135,0,4,1108-2,false,0,3,135,1,3,1
6089297724ac2d65e8da69e3,1536,6,5,81,1,5,1536-5,true,0,1,81,0.5094339622641509,3,0.75
6089297724ac2d65e8da69e4,673,2,1,547,0,5,673-1,false,0,5,547,1,5,1
6089297724ac2d65e8da69e5,1980,3,2,95,0,5,1980-2,false,0,4,95,1,4,1
6089297724ac2d65e8da69e6,71,1,5,85,0,5,71-5,true,0,1,85,1,1,1
6089297724ac2d65e8da69e7,1574,3,3,89,1,5,1574-3,true,0,3,100,0.5291005291005291,3,0.6
6089297724ac2d65e8da69e8,2717,6,5,61,0,5,2717-5,true,0,1,61,1,1,1
6089297724ac2d65e8da69e9,2189,4,3,65,1,5,2189-3,true,0,3,236,0.7840531561461794,3,0.6
6089297724ac2d65e8da69ea,2306,6,5,96,0,5,2306-5,true,0,1,96,1,1,1
6089297724ac2d65e8da69eb,2172,4,4,157,0,5,2172-4,true,0,2,157,1,2,1
6089297724ac2d65e8da69ec,543,7,6,65,0,6,543-6,true,0,1,65,1,1,1
6089297724ac2d65e8da69ed,559,2,1,234,0,6,559-1,true,0,6,234,1,6,1
6089297724ac2d65e8da69ee,975,3,2,258,0,6,975-2,false,0,5,258,1,5,1
6089297724ac2d65e8da69ef,676,7,6,100,0,6,676-6,true,0,1,100,1,1,1
6089297724ac2d65e8da69f0,672,6,6,658,1,6,672-6,true,0,1,658,0.546058091286307,5,0.8333333333333334
6089297724ac2d65e8da69f1,1165,4,3,636,0,6,1165-3,true,0,4,636,1,4,1
6089297724ac2d65e8da69f2,1979,7,6,76,1,6,1979-6,true,0,1,95,0.5555555555555556,4,0.8
6089297724ac2d65e8da69f3,1305,6,5,102,0,6,1305-5,true,0,2,102,1,2,1
6089297724ac2d65e8da69f4,1154,2,5,66,0,6,1154-5,true,0,2,66,1,2,1
6089297724ac2d65e8da69f5,2243,4,6,115,0,6,2243-6,true,0,1,115,1,1,1
6089297724ac2d65e8da69f6,2783,6,5,83,0,6,2783-5,true,0,2,83,1,2,1
6089297724ac2d65e8da69f7,544,2,7,71,0,7,544-7,true,0,1,71,1,1,1
6089297724ac2d65e8da69f8,317,4,7,276,0,7,317-7,true,0,1,276,1,1,1
6089297724ac2d65e8da69f9,364,4,6,92,0,7,364-6,true,0,2,92,1,2,1
6089297724ac2d65e8da69fa,1416,3,2,201,0,7,1416-2,true,0,6,201,1,6,1
6089297724ac2d65e8da69fb,2757,6,5,141,1,7,2757-5,true,0,3,141,0.5108695652173914,3,0.5
6089297724ac2d65e8da69fc,2931,6,5,62,0,7,2931-5,true,0,3,62,1,3,1
6089297724ac2d65e8da69fd,1907,3,2,79,0,7,1907-2,true,0,6,79,1,6,1
6089297724ac2d65e8da69fe,353,3,8,317,0,8,353-8,true,0,1,317,1,1,1
6089297724ac2d65e8da69ff,1455,7,6,130,0,8,1455-6,true,0,3,130,1,3,1
6089297724ac2d65e8da6a00,2085,9,8,60,0,8,2085-8,true,0,1,60,1,1,1
6089297724ac2d65e8da6a01,2610,4,3,98,0,9,2610-3,true,0,7,98,1,7,1
6089297724ac2d65e8da6a02,2877,3,9,62,0,9,2877-9,true,0,1,62,1,1,1
6089297724ac2d65e8da6a03,725,8,7,70,1,10,725-7,true,0,4,258,0.7865853658536586,5,0.5555555555555556
6089297724ac2d65e8da6a04,1097,8,7,99,0,10,1097-7,true,0,4,99,1,4,1
6089297724ac2d65e8da6a05,387,2,8,113,0,10,387-8,true,0,3,113,1,3,1
6089297724ac2d65e8da6a06,2059,2,9,105,0,10,2059-9,true,0,2,105,1,2,1
6089297724ac2d65e8da6a07,1195,6,10,199,0,12,1195-10,true,0,3,199,1,3,1
6089297724ac2d65e8da6a08,387,6,12,70,0,12,387-12,true,0,1,70,1,1,1
6089297724ac2d65e8da6a09,157,11,10,142,0,13,157-10,true,0,4,142,1,4,1
6089297724ac2d65e8da6a0a,1778,2,1,523,0,13,1778-1,false,0,13,523,1,13,1
6089297724ac2d65e8da6a0b,1445,4,13,98,0,13,1445-13,true,0,1,98,1,1,1
6089297724ac2d65e8da6a0c,2460,4,16,99,0,16,2460-16,true,0,1,99,1,1,1
6089297724ac2d65e8da6a0d,1786,4,15,82,0,16,1786-15,true,0,2,82,1,2,1
