"_id",trunkId,loadedFor,startIteration,wtCost,generation,endIteration,key,isLeaf,totalBranches,time,maxCost,costProb,maxTime,timeProb
60892b88a2b58403ecce3ef3,51,2,1,64,0,1,51-1,true,0,1,64,1,1,1
60892b88a2b58403ecce3ef4,1397,2,1,308,0,1,1397-1,false,0,1,308,1,1,1
60892b88a2b58403ecce3ef5,1905,2,1,98,0,1,1905-1,true,0,1,98,1,1,1
60892b88a2b58403ecce3ef6,2835,2,1,123,0,1,2835-1,false,0,1,123,1,1,1
60892b88a2b58403ecce3ef7,1279,2,1,97,0,1,1279-1,true,0,1,97,1,1,1
60892b88a2b58403ecce3ef8,1704,2,1,93,0,1,1704-1,true,0,1,93,1,1,1
60892b88a2b58403ecce3ef9,150,2,1,74,0,2,150-1,true,0,2,74,1,2,1
60892b88a2b58403ecce3efa,2413,2,1,236,0,2,2413-1,false,0,2,236,1,2,1
60892b88a2b58403ecce3efb,552,2,1,135,0,2,552-1,true,0,2,135,1,2,1
60892b88a2b58403ecce3efc,895,3,2,102,1,2,895-2,true,0,1,123,0.5466666666666666,1,0.5
60892b88a2b58403ecce3efd,1916,3,2,89,0,2,1916-2,true,0,1,89,1,1,1
60892b88a2b58403ecce3efe,2125,3,2,84,0,2,2125-2,true,0,1,84,1,1,1
60892b88a2b58403ecce3eff,1930,2,2,103,0,2,1930-2,true,0,1,103,1,1,1
60892b88a2b58403ecce3f00,2618,2,1,102,0,3,2618-1,true,0,3,102,1,3,1
60892b88a2b58403ecce3f01,797,3,2,94,0,3,797-2,false,0,2,94,1,2,1
60892b88a2b58403ecce3f02,1403,4,3,136,0,3,1403-3,true,0,1,136,1,1,1
60892b88a2b58403ecce3f03,2059,4,3,120,1,3,2059-3,true,0,1,120,0.625,3,0.75
60892b88a2b58403ecce3f04,2386,4,3,130,0,3,2386-3,true,0,1,130,1,1,1
60892b88a2b58403ecce3f05,2125,5,4,71,0,4,2125-4,true,0,1,71,1,1,1
60892b88a2b58403ecce3f06,82,3,2,80,1,4,82-2,true,0,3,308,0.7938144329896907,3,0.75
60892b88a2b58403ecce3f07,2613,2,1,247,0,4,2613-1,false,0,4,247,1,4,1
60892b88a2b58403ecce3f08,791,5,4,76,1,4,791-4,true,0,1,94,0.5529411764705883,2,0.6666666666666666
60892b88a2b58403ecce3f09,2305,4,3,89,0,4,2305-3,true,0,2,89,1,2,1
60892b88a2b58403ecce3f0a,1644,5,4,68,0,4,1644-4,true,0,1,68,1,1,1
60892b88a2b58403ecce3f0b,1445,2,1,60,0,4,1445-1,true,0,4,60,1,4,1
60892b88a2b58403ecce3f0c,1108,2,2,135,0,4,1108-2,false,0,3,135,1,3,1
60892b88a2b58403ecce3f0d,673,2,1,547,0,5,673-1,false,0,5,547,1,5,1
60892b88a2b58403ecce3f0e,1980,3,2,95,0,5,1980-2,false,0,4,95,1,4,1
60892b88a2b58403ecce3f0f,71,1,5,85,0,5,71-5,true,0,1,85,1,1,1
60892b88a2b58403ecce3f10,2717,6,5,61,0,5,2717-5,true,0,1,61,1,1,1
60892b88a2b58403ecce3f11,2189,4,3,65,1,5,2189-3,true,0,3,236,0.7840531561461794,3,0.6
60892b88a2b58403ecce3f12,2306,6,5,96,0,5,2306-5,true,0,1,96,1,1,1
60892b88a2b58403ecce3f13,2172,4,4,157,0,5,2172-4,true,0,2,157,1,2,1
60892b88a2b58403ecce3f14,543,7,6,65,0,6,543-6,true,0,1,65,1,1,1
60892b88a2b58403ecce3f15,559,2,1,234,0,6,559-1,true,0,6,234,1,6,1
60892b88a2b58403ecce3f16,975,3,2,258,0,6,975-2,false,0,5,258,1,5,1
60892b88a2b58403ecce3f17,676,7,6,100,0,6,676-6,true,0,1,100,1,1,1
60892b88a2b58403ecce3f18,672,6,6,658,1,6,672-6,true,0,1,658,0.546058091286307,5,0.8333333333333334
60892b88a2b58403ecce3f19,1165,4,3,636,0,6,1165-3,true,0,4,636,1,4,1
60892b88a2b58403ecce3f1a,1979,7,6,76,1,6,1979-6,true,0,1,95,0.5555555555555556,4,0.8
60892b88a2b58403ecce3f1b,1305,6,5,102,0,6,1305-5,true,0,2,102,1,2,1
60892b88a2b58403ecce3f1c,2783,6,5,83,0,6,2783-5,true,0,2,83,1,2,1
60892b88a2b58403ecce3f1d,544,2,7,71,0,7,544-7,true,0,1,71,1,1,1
60892b88a2b58403ecce3f1e,317,4,7,276,0,7,317-7,true,0,1,276,1,1,1
60892b88a2b58403ecce3f1f,364,4,6,92,0,7,364-6,true,0,2,92,1,2,1
60892b88a2b58403ecce3f20,1416,3,2,201,0,7,1416-2,true,0,6,201,1,6,1
60892b88a2b58403ecce3f21,2757,6,5,141,1,7,2757-5,true,0,3,141,0.5108695652173914,3,0.5
60892b88a2b58403ecce3f22,2931,6,5,62,0,7,2931-5,true,0,3,62,1,3,1
60892b88a2b58403ecce3f23,1907,3,2,79,0,7,1907-2,true,0,6,79,1,6,1
60892b88a2b58403ecce3f24,353,3,8,317,0,8,353-8,true,0,1,317,1,1,1
60892b88a2b58403ecce3f25,1455,7,6,130,0,8,1455-6,true,0,3,130,1,3,1
60892b88a2b58403ecce3f26,2610,4,3,98,0,9,2610-3,true,0,7,98,1,7,1
60892b88a2b58403ecce3f27,2877,3,9,62,0,9,2877-9,true,0,1,62,1,1,1
60892b88a2b58403ecce3f28,725,8,7,70,1,10,725-7,true,0,4,258,0.7865853658536586,5,0.5555555555555556
60892b88a2b58403ecce3f29,1097,8,7,99,0,10,1097-7,true,0,4,99,1,4,1
60892b88a2b58403ecce3f2a,387,2,8,113,0,10,387-8,true,0,3,113,1,3,1
60892b88a2b58403ecce3f2b,2059,2,9,105,0,10,2059-9,true,0,2,105,1,2,1
60892b88a2b58403ecce3f2c,387,6,12,70,0,12,387-12,true,0,1,70,1,1,1
60892b88a2b58403ecce3f2d,157,11,10,142,0,13,157-10,true,0,4,142,1,4,1
60892b88a2b58403ecce3f2e,1778,2,1,523,0,13,1778-1,false,0,13,523,1,13,1
60892b88a2b58403ecce3f2f,1445,4,13,98,0,13,1445-13,true,0,1,98,1,1,1
60892b88a2b58403ecce3f30,2460,4,16,99,0,16,2460-16,true,0,1,99,1,1,1
60892b88a2b58403ecce3f31,1786,4,15,82,0,16,1786-15,true,0,2,82,1,2,1
60892b88a2b58403ecce3f32,205,6,5,276,0,17,205-5,true,0,13,276,1,13,1
60892b88a2b58403ecce3f33,279,4,17,93,0,17,279-17,true,0,1,93,1,1,1
60892b88a2b58403ecce3f34,2292,1,17,65,0,17,2292-17,true,0,1,65,1,1,1
60892b88a2b58403ecce3f35,229,2,17,70,0,17,229-17,true,0,1,70,1,1,1
