trunk,fromLocation,toLocation,loadedFor,lanes, branchCost,wTCost,linkId,thisBranch.myMeasureType
44,359.8344910_051.5208010,359.8357120_051.5209940,5,3,349,1009,44,1
44,359.8344400_051.5207940,359.8344910_051.5208010,4,3,8,1009,9,1
44,359.8328060_051.5205140,359.8344400_051.5207940,4,3,313,1009,49,1
44,359.8298840_051.5200560,359.8328060_051.5205140,2,2,98,1009,42,1
44,359.8291160_051.5199890,359.8328060_051.5205140,2,2,74,1009,43,1
44,359.8344780_051.5207880,359.8344910_051.5208010,5,1,2,1009,37,1
44,359.8345140_051.5206890,359.8344780_051.5207880,4,2,32,1009,7,1
44,359.8345170_051.5206800,359.8345140_051.5206890,4,2,6,1009,10,1
44,359.8342880_051.5200840,359.8345170_051.5206800,3,2,123,1009,24,1
44,359.8339630_051.5199370,359.8342880_051.5200840,1,1,4,1009,23,1
50,359.8328130_051.5203980,359.8302050_051.5198230,3,2,278,545,50,1
50,359.8345100_051.5206830,359.8328130_051.5203980,2,3,246,545,40,1
50,359.8345250_051.5206850,359.8345100_051.5206830,1,3,2,545,1,1
50,359.8348560_051.5207160,359.8345250_051.5206850,1,3,19,545,12,1
