link_id,fromLocation,toLocation,loadedFor,lanes,measureType,costPerIter,availability, availabilityThreshold
00000,359.8333740_051.5187450,359.8340730_051.5194130,0000,02,1, 00000, 0.60, 0.60
00001,359.8345250_051.5206850,359.8345100_051.5206830,0002,03,1, 00004, 0.28, 0.50
00002,359.8319860_051.5195390,359.8328230_051.5197040,0000,02,1, 00000, 0.67, 0.67
00003,359.8359370_051.5208990,359.8357230_051.5210040,0000,01,1, 00000, 1.00, 1.00
00004,359.8359470_051.5208990,359.8362020_051.5205640,0001,01,1, 00004, 0.51, 0.61
00005,359.8357410_051.5210050,359.8357540_051.5210050,0000,01,1, 00000, 1.00, 1.00
00006,359.8344780_051.5207880,359.8344650_051.5208130,0000,02,1, 00000, 1.00, 1.00
00007,359.8345140_051.5206890,359.8344780_051.5207880,0005,02,1, 00011, 0.17, 0.32
00008,359.8344400_051.5207940,359.8344650_051.5208130,0000,01,1, 00000, 1.00, 1.00
00009,359.8344400_051.5207940,359.8344910_051.5208010,0005,03,1, 00002, 0.35, 0.50
00010,359.8345170_051.5206800,359.8345140_051.5206890,0005,02,1, 00003, 0.28, 0.50
00011,359.8345170_051.5206800,359.8345100_051.5206830,0000,01,1, 00000, 1.00, 1.00
00012,359.8348560_051.5207160,359.8345250_051.5206850,0002,03,1, 00019, 0.33, 0.49
00013,359.8347290_051.5202100,359.8344240_051.5203070,0000,01,1, 00000, 1.00, 1.00
00014,359.8346950_051.5196720,359.8341870_051.5197950,0000,01,1, 00000, 1.00, 1.00
00015,359.8341870_051.5197950,359.8340940_051.5194270,0000,01,1, 00000, 1.00, 1.00
00016,359.8340940_051.5194270,359.8330970_051.5184960,0000,01,1, 00000, 1.00, 1.00
00017,359.8341190_051.5194170,359.8347300_051.5191130,0000,01,1, 00000, 1.00, 1.00
00018,359.8340940_051.5194270,359.8341190_051.5194170,0000,01,1, 00000, 1.00, 1.00
00019,359.8340730_051.5194130,359.8341190_051.5194170,0000,01,1, 00000, 1.00, 1.00
00020,359.8340730_051.5194130,359.8342880_051.5200840,0000,02,1, 00000, 0.61, 0.61
00021,359.8328230_051.5197040,359.8339630_051.5199370,0000,02,1, 00000, 0.55, 0.55
00022,359.8339630_051.5199370,359.8341870_051.5197950,0000,01,1, 00000, 1.00, 1.00
00023,359.8339630_051.5199370,359.8342880_051.5200840,0002,01,1, 00004, 0.40, 0.50
00024,359.8342880_051.5200840,359.8345170_051.5206800,0004,02,1, 00053, 0.32, 0.57
00025,359.8344240_051.5203070,359.8341870_051.5197950,0000,01,1, 00000, 1.00, 1.00
00026,359.8328230_051.5197040,359.8333740_051.5187450,0000,01,1, 00000, 1.00, 1.00
00027,359.8330450_051.5185030,359.8333740_051.5187450,0000,02,1, 00000, 1.00, 1.00
00028,359.8357120_051.5209940,359.8357540_051.5210050,0000,03,1, 00000, 1.00, 1.00
00029,359.8357410_051.5210050,359.8357510_051.5209990,0000,02,1, 00000, 1.00, 1.00
00030,359.8370560_051.5211210,359.8359380_051.5209170,0000,03,1, 00000, 0.57, 0.57
00031,359.8357510_051.5209990,359.8359470_051.5208990,0000,02,1, 00000, 1.00, 1.00
00032,359.8359380_051.5209170,359.8358840_051.5209100,0000,03,1, 00000, 0.50, 0.50
00033,359.8361920_051.5205440,359.8359370_051.5208990,0000,01,1, 00000, 1.00, 0.59
00034,359.8359370_051.5208990,359.8358840_051.5209100,0000,01,1, 00000, 1.00, 0.35
00035,359.8359380_051.5209170,359.8359470_051.5208990,0000,01,1, 00000, 1.00, 1.00
00036,359.8344650_051.5208130,359.8343040_051.5210910,0000,01,1, 00000, 1.00, 1.00
00037,359.8344780_051.5207880,359.8344910_051.5208010,0006,01,1, 00001, 0.28, 0.50
00038,359.8358840_051.5209100,359.8348560_051.5207160,0000,03,1, 00000, 0.56, 0.56
00039,359.8348560_051.5207160,359.8344240_051.5203070,0000,01,1, 00000, 1.00, 1.00
00040,359.8345100_051.5206830,359.8328130_051.5203980,0003,03,1, 00181, 0.30, 0.63
00041,359.8328130_051.5203980,359.8291620_051.5199160,0000,02,1, 00000, 1.00, 1.00
00042,359.8298840_051.5200560,359.8328060_051.5205140,0003,02,1, 00078, 0.38, 0.50
00043,359.8291160_051.5199890,359.8328060_051.5205140,0003,02,1, 00066, 0.45, 0.54
00044,359.8344910_051.5208010,359.8357120_051.5209940,0006,03,1, 00093, 0.33, 0.55
00045,359.8357120_051.5209940,359.8357230_051.5210040,0000,01,1, 00000, 1.00, 1.00
00046,359.8357230_051.5210040,359.8355910_051.5211760,0000,01,1, 00000, 1.00, 1.00
00047,359.8356540_051.5211210,359.8357410_051.5210050,0000,02,1, 00000, 1.00, 1.00
00048,359.8357540_051.5210050,359.8369650_051.5212280,0000,03,1, 00000, 1.00, 1.00
00049,359.8328060_051.5205140,359.8344400_051.5207940,0005,03,1, 00123, 0.35, 0.60
00050,359.8328130_051.5203980,359.8302050_051.5198230,0004,02,1, 00180, 0.32, 0.66
